0 1 2 3 4
0 5 6 7 8
0 9 10 11 12
1 13 14 15 16
1 23 24 25 26
4 22 40 41 44
2 20 36 42 43
3 21 37 38 39
3 19 32 33 35
4 17 27 30 31
2 18 28 29 34
5 45 46 47 48
5 52 53 54 55
8 69 71 72 76
6 65 70 73 74
7 66 67 68 75
7 51 60 61 64
6 49 56 59 62
8 50 57 58 63
9 77 78 79 80
9 84 85 86 87
12 101 103 104 108
10 97 102 105 106
11 98 99 100 107
11 83 92 93 96
10 81 88 91 94
12 82 89 90 95
13 109 110 111 112
13 119 120 121 122
14 168 170 182 190
14 167 169 177 189
15 171 175 176 179
16 172 178 185 186
15 173 184 187 188
16 174 180 181 183
41 331 338 345 364
44 324 332 334 356
42 326 329 342 357
43 321 333 336 358
35 320 330 339 359
34 322 323 337 360
32 325 340 343 361
31 328 335 346 362
33 327 341 344 363
30 294 302 313 355
40 293 303 312 347
38 298 300 311 348
39 299 301 314 349
37 297 307 308 350
36 309 316 318 351
28 305 306 315 352
27 295 304 319 353
29 296 310 317 354
43 166 272 277 285
44 158 279 287 288
42 159 270 276 286
40 160 274 278 284
38 161 268 275 292
39 162 266 273 289
24 163 271 280 282
25 164 269 281 283
26 165 267 290 291
30 157 254 257 263
23 154 258 261 262
34 155 255 256 264
35 156 259 260 265
31 153 229 248 251
32 145 239 241 249
33 146 236 246 250
27 147 230 233 240
29 148 234 245 253
28 149 235 243 252
24 150 227 231 244
25 151 228 232 242
26 152 237 238 247
41 144 217 223 225
23 141 215 216 226
36 142 221 222 224
37 143 218 219 220
21 203 205 208 214
20 206 211 212 213
22 204 207 209 210
18 191 193 194 201
17 192 196 199 202
19 195 197 198 200
21 118 132 136 138
22 116 137 139 140
20 117 133 134 135
18 115 123 126 129
19 113 124 125 127
17 114 128 130 131
45 365 366 367 368
45 372 373 374 375
75 611 612 614 620
76 613 615 617 618
74 609 610 616 619
46 418 425 426 437
46 419 422 427 432
47 420 424 434 435
48 421 423 428 429
48 416 417 436 438
47 430 431 433 439
76 587 588 592 595
75 584 586 590 594
74 585 589 591 593
55 575 576 581 608
62 573 574 577 605
63 572 582 583 606
64 578 579 580 607
54 552 557 566 604
52 549 553 569 596
53 550 558 567 597
59 562 565 568 598
60 559 560 571 599
61 551 556 564 600
57 545 555 563 601
56 546 548 561 602
58 547 554 570 603
73 415 522 528 531
70 407 521 535 540
71 408 523 530 542
72 409 519 536 541
64 410 518 524 532
63 411 520 525 537
60 412 526 533 544
59 413 529 538 539
61 414 527 534 543
55 406 507 508 515
73 403 506 513 517
68 404 509 511 512
69 405 510 514 516
53 402 483 499 502
52 394 482 496 505
54 395 480 498 503
71 396 479 486 497
72 397 484 489 490
70 398 485 488 493
66 399 491 495 501
65 400 492 494 500
67 401 481 487 504
62 393 454 458 465
68 385 453 459 474
69 386 466 470 475
65 387 460 463 473
66 388 461 464 472
67 389 457 462 468
58 390 452 469 477
56 391 455 467 478
57 392 456 471 476
50 440 445 447 449
51 441 443 446 451
49 442 444 448 450
50 371 378 379 382
51 369 376 381 384
49 370 377 380 383
77 621 622 623 624
77 628 629 630 631
107 867 869 873 876
108 865 866 871 874
106 868 870 872 875
78 674 681 687 693
78 675 678 682 688
79 676 680 684 685
80 677 679 689 690
79 683 691 692 695
80 672 673 686 694
108 843 846 847 851
107 840 842 844 850
106 841 845 848 849
87 832 833 837 864
94 829 830 831 861
95 828 838 839 862
96 834 835 836 863
86 808 816 822 860
84 805 809 825 852
85 806 817 823 853
92 812 818 827 854
91 813 821 824 855
93 807 815 820 856
88 801 802 814 857
89 803 810 819 858
90 804 811 826 859
105 671 778 782 793
102 663 777 786 796
103 664 779 794 798
104 665 775 787 797
96 666 774 780 785
95 667 776 781 788
91 668 789 791 795
92 669 783 790 800
93 670 784 792 799
87 662 763 764 768
105 659 762 772 773
100 660 765 770 771
101 661 766 767 769
94 658 736 741 748
100 650 737 742 757
101 651 751 755 758
97 652 743 746 750
98 653 744 747 749
99 654 740 745 753
90 655 735 754 760
88 656 738 752 761
89 657 739 756 759
85 649 712 724 730
84 641 711 720 734
86 642 709 723 732
103 643 708 715 721
104 644 713 718 725
102 645 714 717 728
97 646 719 727 731
98 647 722 726 729
99 648 710 716 733
82 696 700 704 705
83 697 699 702 707
81 698 701 703 706
82 627 634 636 640
83 625 633 637 638
81 626 632 635 639
109 877 878 879 880
109 887 888 889 890
110 936 943 955 956
110 937 942 948 952
111 938 940 944 951
112 939 945 957 958
111 935 941 947 950
112 946 949 953 954
357 2883 2894 2906 2924
358 2893 2897 2901 2916
359 2882 2889 2895 2917
360 2891 2900 2902 2918
361 2881 2888 2898 2919
362 2887 2892 2903 2920
363 2896 2899 2904 2921
364 2884 2886 2905 2922
356 2880 2885 2890 2923
348 2855 2870 2877 2915
349 2857 2864 2872 2907
350 2853 2854 2865 2908
351 2862 2869 2876 2909
352 2866 2868 2875 2910
353 2860 2861 2878 2911
354 2856 2858 2874 2912
355 2859 2871 2879 2913
347 2863 2867 2873 2914
120 1320 1326 1333 1350
119 1321 1325 1334 1345
119 1322 1324 1331 1339
120 1319 1323 1327 1342
121 1330 1336 1348 1349
122 1332 1335 1343 1344
122 1337 1338 1341 1346
121 1328 1329 1340 1347
361 2715 2733 2745 2747
363 2720 2723 2735 2742
358 2721 2731 2732 2749
360 2722 2724 2726 2736
364 2730 2734 2738 2748
357 2718 2728 2739 2743
356 2719 2727 2740 2741
362 2716 2725 2744 2746
359 2717 2729 2737 2750
351 2681 2695 2700 2701
355 2682 2685 2698 2713
354 2686 2688 2693 2707
348 2687 2689 2691 2708
349 2697 2702 2703 2711
352 2683 2704 2706 2712
353 2684 2694 2696 2710
350 2679 2690 2705 2714
347 2680 2692 2699 2709
202 2645 2655 2671 2852
213 2646 2659 2667 2841
214 2647 2661 2674 2842
226 2666 2670 2677 2843
251 2652 2657 2665 2844
252 2648 2651 2660 2845
253 2654 2669 2672 2846
288 2643 2649 2663 2847
291 2644 2650 2664 2848
292 2662 2668 2676 2849
290 2656 2658 2678 2850
289 2653 2673 2675 2851
225 2608 2624 2631 2840
248 2627 2634 2638 2829
249 2611 2619 2628 2830
250 2615 2618 2625 2831
264 2609 2635 2639 2832
265 2613 2632 2636 2833
285 2626 2629 2637 2834
286 2620 2640 2642 2835
287 2614 2630 2641 2836
201 2607 2612 2633 2837
199 2610 2616 2622 2838
200 2617 2621 2623 2839
198 2528 2535 2544 2828
210 2531 2536 2564 2802
211 2553 2574 2577 2803
212 2572 2582 2598 2804
222 2534 2559 2605 2805
223 2538 2568 2603 2806
224 2556 2560 2565 2807
245 2526 2548 2583 2808
279 2540 2547 2576 2809
282 2557 2570 2602 2810
283 2539 2551 2561 2811
284 2555 2601 2604 2812
280 2562 2588 2596 2813
281 2529 2542 2592 2814
263 2546 2585 2599 2815
261 2558 2569 2578 2816
262 2532 2549 2589 2817
259 2533 2550 2590 2818
260 2527 2580 2606 2819
246 2554 2584 2600 2820
247 2573 2586 2597 2821
243 2541 2566 2595 2822
244 2552 2575 2579 2823
241 2545 2567 2593 2824
242 2537 2543 2571 2825
196 2563 2581 2591 2826
197 2530 2587 2594 2827
194 2495 2505 2523 2801
195 2497 2504 2519 2790
209 2502 2512 2515 2791
238 2501 2513 2517 2792
239 2498 2510 2520 2793
240 2493 2499 2514 2794
258 2508 2518 2524 2795
276 2503 2509 2522 2796
277 2496 2516 2521 2797
278 2491 2500 2506 2798
237 2490 2494 2525 2799
236 2492 2507 2511 2800
220 2458 2471 2481 2789
221 2455 2466 2474 2778
233 2456 2477 2480 2779
234 2457 2460 2478 2780
235 2465 2473 2489 2781
257 2462 2464 2488 2782
273 2461 2470 2487 2783
274 2463 2467 2482 2784
275 2454 2468 2483 2785
207 2459 2475 2484 2786
208 2476 2479 2485 2787
206 2469 2472 2486 2788
191 2379 2394 2395 2777
192 2402 2436 2451 2751
193 2386 2417 2418 2752
203 2390 2412 2429 2753
227 2399 2423 2432 2754
228 2382 2396 2438 2755
229 2385 2442 2446 2756
230 2389 2422 2441 2757
254 2408 2415 2447 2758
255 2373 2397 2439 2759
256 2388 2440 2452 2760
272 2400 2430 2448 2761
271 2383 2387 2426 2762
270 2374 2413 2425 2763
269 2433 2437 2443 2764
268 2375 2405 2414 2765
266 2377 2401 2428 2766
267 2378 2392 2434 2767
232 2406 2409 2444 2768
231 2380 2393 2403 2769
218 2384 2431 2453 2770
219 2398 2420 2449 2771
217 2376 2419 2435 2772
215 2416 2424 2427 2773
216 2381 2421 2450 2774
204 2391 2404 2411 2775
205 2407 2410 2445 2776
189 1318 2303 2307 2311
190 1292 2309 2341 2343
225 1293 2295 2320 2370
272 1294 2346 2355 2361
284 1295 2293 2318 2366
287 1296 2296 2304 2367
292 1297 2302 2328 2356
318 1298 2292 2338 2347
319 1299 2312 2348 2368
342 1300 2323 2335 2360
343 1301 2317 2329 2362
346 1302 2300 2344 2363
344 1303 2297 2339 2357
345 1304 2325 2350 2359
317 1305 2308 2351 2365
316 1306 2314 2334 2352
314 1307 2298 2332 2353
315 1308 2315 2337 2371
218 1309 2301 2319 2349
219 1310 2316 2324 2369
201 1311 2340 2354 2364
200 1312 2306 2313 2358
199 1313 2305 2310 2372
187 1314 2294 2321 2326
185 1315 2299 2330 2331
186 1316 2327 2333 2336
188 1317 2322 2342 2345
183 1289 2258 2270 2274
184 1280 2259 2278 2280
190 1281 2256 2277 2281
235 1282 2268 2273 2279
240 1283 2263 2272 2285
253 1284 2257 2276 2289
256 1285 2264 2275 2286
265 1286 2266 2271 2284
313 1287 2269 2282 2283
346 1288 2262 2265 2267
341 1291 2261 2288 2291
340 1290 2260 2287 2290
178 1279 2184 2192 2203
182 1253 2178 2230 2233
193 1254 2199 2202 2241
195 1255 2211 2237 2252
202 1256 2219 2226 2243
221 1257 2190 2204 2215
224 1258 2193 2197 2212
226 1259 2186 2195 2250
275 1260 2208 2220 2245
278 1261 2182 2200 2228
283 1262 2217 2221 2234
291 1263 2188 2196 2249
311 1264 2198 2213 2222
312 1265 2180 2227 2246
334 1266 2179 2225 2251
335 1267 2175 2242 2253
338 1268 2176 2238 2254
339 1269 2189 2209 2244
340 1270 2181 2218 2247
341 1271 2191 2216 2248
336 1272 2194 2210 2240
337 1273 2207 2214 2255
271 1274 2185 2205 2235
270 1275 2201 2206 2239
179 1276 2187 2223 2236
180 1277 2183 2224 2231
181 1278 2177 2229 2232
177 1252 2100 2126 2135
182 1226 2118 2151 2157
212 1227 2132 2136 2140
252 1228 2103 2119 2173
308 1229 2096 2153 2174
319 1230 2107 2142 2168
329 1231 2130 2139 2156
330 1232 2115 2146 2163
331 1233 2104 2113 2131
339 1234 2101 2121 2137
344 1235 2108 2160 2166
345 1236 2097 2141 2143
332 1237 2094 2149 2165
333 1238 2098 2152 2167
310 1239 2122 2144 2158
309 1240 2111 2159 2170
263 1241 2112 2123 2172
262 1242 2109 2133 2147
261 1243 2105 2125 2148
247 1244 2102 2106 2145
246 1245 2138 2150 2164
232 1246 2099 2117 2162
231 1247 2124 2129 2169
204 1248 2120 2128 2171
205 1249 2116 2127 2154
175 1250 2095 2155 2161
176 1251 2110 2114 2134
173 1225 2064 2076 2078
174 1214 2067 2079 2083
189 1215 2058 2063 2070
230 1216 2062 2065 2093
234 1217 2068 2069 2085
250 1218 2074 2080 2090
306 1219 2071 2081 2082
307 1220 2059 2087 2088
318 1221 2061 2072 2084
328 1222 2077 2086 2091
338 1223 2075 2089 2092
343 1224 2060 2066 2073
171 1213 1994 2004 2005
172 1190 1991 1997 2000
177 1191 2013 2014 2019
192 1192 2020 2036 2045
194 1193 2030 2034 2047
198 1194 2021 2043 2055
223 1195 2038 2048 2049
274 1196 2022 2023 2026
282 1197 2027 2035 2052
304 1198 1998 2040 2041
305 1199 1992 2039 2050
307 1200 1987 2031 2032
325 1201 1996 2037 2046
328 1202 2007 2024 2029
332 1203 2011 2012 2015
333 1204 2016 2025 2054
327 1205 1988 2001 2008
326 1206 1993 2033 2044
