0 1 2 3 4 5
0 6 7 8 9 10
0 12 14 15 18 19
0 11 13 16 17 20
1 21 22 23 24 25
1 39 40 43 45 47
1 38 41 42 44 46
2 30 68 84 88 90
3 31 69 85 89 91
5 37 70 80 83 86
5 36 71 81 82 87
4 35 64 75 76 92
4 34 65 74 77 93
3 33 67 73 79 95
2 32 66 72 78 94
4 27 52 53 61 63
5 26 54 55 60 62
3 29 49 51 57 59
2 28 48 50 56 58
6 21 26 27 28 29
6 39 65 66 69 71
6 38 64 67 68 70
8 23 85 87 88 93
7 22 84 86 89 92
9 24 61 62 90 91
10 25 60 63 94 95
9 37 44 48 73 74
9 36 45 49 72 75
8 35 47 51 54 58
7 34 46 50 55 59
10 31 41 56 77 81
10 30 40 57 76 80
8 33 42 53 78 83
7 32 43 52 79 82
12 21 31 32 35 37
11 21 30 33 34 36
11 43 48 60 64 85
12 42 49 60 65 84
12 40 50 61 67 87
11 41 51 61 66 86
14 23 55 66 73 76
13 22 54 67 72 77
16 24 58 65 79 80
15 24 59 64 78 81
20 25 50 69 75 83
19 25 51 68 74 82
18 22 48 53 57 71
17 23 49 52 56 70
14 36 38 58 63 89
13 37 39 59 63 88
20 32 38 57 62 93
19 33 39 56 62 92
18 34 47 70 91 94
17 35 46 71 90 95
16 31 45 53 55 68
15 30 44 52 54 69
16 29 44 87 92 94
15 28 45 86 93 95
19 27 46 72 80 85
20 27 47 73 81 84
13 28 42 76 82 91
14 29 43 77 83 90
17 26 40 74 78 89
18 26 41 75 79 88
