0 1 2 3 4 5 6 7 8
0 9 10 11 12 13 14 15 16
0 21 23 24 25 29 30 34 37
0 17 22 26 33 42 51 52 55
0 18 28 32 36 38 44 47 50
0 19 27 40 43 45 53 54 56
0 20 31 35 39 41 46 48 49
1 57 58 59 60 61 62 63 64
1 107 120 127 128 129 132 139 143
1 110 115 119 122 125 134 135 144
1 111 112 116 117 121 138 141 145
1 108 113 123 124 130 136 137 146
1 109 114 118 126 131 133 140 142
4 81 219 259 260 339 340 341 420
2 82 220 257 258 338 342 343 421
2 72 216 247 248 249 250 309 430
3 73 217 241 251 252 310 311 431
8 105 229 246 305 308 414 416 418
8 106 230 245 306 307 413 415 417
4 74 218 231 312 313 314 315 424
4 104 227 240 304 407 411 412 440
7 103 228 239 303 408 409 410 439
3 99 223 238 298 387 391 392 395
3 102 224 235 297 385 388 403 406
5 101 222 234 302 386 390 401 404
6 97 225 233 301 384 393 394 405
6 98 226 236 300 383 389 400 402
8 100 221 237 299 396 397 398 399
6 75 196 316 317 318 319 419 425
5 95 214 295 375 377 381 382 422
2 96 215 296 376 378 379 380 423
4 93 213 292 293 372 373 429 437
2 94 212 291 294 371 374 428 438
3 76 197 253 254 320 321 322 426
4 92 211 282 283 285 368 369 436
5 90 209 286 288 290 366 367 434
2 91 210 284 287 289 365 370 435
3 86 204 268 269 280 351 355 356
5 85 202 261 264 273 352 360 361
5 89 206 267 274 277 345 348 353
6 84 205 266 270 275 354 358 362
6 87 203 265 276 281 344 349 363
7 83 207 262 272 278 346 347 357
7 88 208 263 271 279 350 359 364
8 77 198 242 323 324 325 326 427
7 78 199 243 255 327 328 329 432
7 79 200 244 256 330 331 332 333
8 80 201 232 334 335 336 337 433
3 67 152 160 170 176 179 186 188
7 66 153 159 169 177 178 187 189
6 65 147 158 173 174 175 184 185
5 71 150 167 172 183 190 193 194
8 70 151 168 171 182 191 192 195
4 68 148 154 157 163 165 166 180
2 69 149 155 156 161 162 164 181
9 57 65 66 67 68 69 70 71
9 107 204 205 206 213 216 221 228
9 110 197 207 210 214 218 225 230
9 111 196 198 200 212 219 222 224
9 108 199 203 209 211 220 223 229
9 109 201 202 208 215 217 226 227
11 60 181 422 425 427 431 432 437
12 59 180 419 426 428 433 434 439
10 58 173 176 177 190 191 420 430
15 64 170 182 184 189 194 421 440
16 63 169 183 185 188 195 423 436
13 62 172 174 178 186 192 429 438
14 61 171 175 179 187 193 424 435
15 85 136 243 265 305 368 376 391
15 97 135 241 295 306 312 346 371
14 81 145 235 250 325 332 404 405
14 92 146 238 281 329 374 382 418
15 89 143 237 280 362 364 370 373
16 82 141 234 260 324 333 363 406
10 94 142 236 279 311 326 361 412
10 106 144 233 278 315 380 381 403
11 72 132 158 261 262 282 297 334
14 73 133 161 245 263 264 383 407
12 88 140 168 240 289 310 360 402
13 76 139 166 239 290 319 337 379
12 83 134 152 231 338 375 384 413
11 101 137 151 254 258 314 358 359
12 102 138 147 259 302 323 331 378
13 74 125 248 272 301 351 377 417
13 104 126 252 271 300 342 352 399
14 96 129 269 292 299 353 354 357
16 100 127 275 277 294 328 355 372
16 105 131 249 251 273 350 400 411
10 79 128 270 274 293 343 356 398
10 91 130 276 298 308 327 369 401
13 84 112 242 256 339 365 385 386
11 87 122 160 284 286 304 330 397
12 99 123 167 247 255 285 349 416
16 80 124 165 287 288 303 318 322
13 78 113 162 246 283 344 345 387
15 90 114 163 232 309 316 320 408
14 103 115 154 253 257 317 335 366
15 77 116 155 244 340 388 389 390
11 98 121 157 159 267 291 395 415
12 93 120 153 164 266 268 348 396
11 86 118 150 296 341 394 410 414
16 95 119 149 307 313 347 392 393
10 75 117 148 156 321 336 367 409
21 57 72 73 75 77 78 93 95
17 57 74 85 91 98 100 102 103
18 57 82 84 86 88 90 92 106
20 57 76 81 83 87 89 94 105
19 57 79 80 96 97 99 101 104
21 107 173 232 235 272 273 284 285
21 109 183 233 239 258 259 269 305
21 108 182 231 234 253 270 271 291
21 111 178 180 236 238 277 296 306
21 110 179 181 237 240 256 276 288
18 121 199 237 264 301 420 423 426
