0 1 2 3 4 5 6 7 8 9
0 10 11 12 13 14 15 16 17 18
0 20 27 36 37 43 57 60 62 69
0 21 26 34 39 44 56 58 63 68
0 19 25 35 38 45 55 59 61 67
0 23 28 32 42 48 51 53 65 70
0 24 29 33 41 46 49 52 66 72
0 22 30 31 40 47 50 54 64 71
1 73 74 75 76 77 78 79 80 81
1 139 151 155 156 161 168 175 182 186
1 140 152 154 158 159 170 176 180 188
1 138 150 153 157 160 169 174 181 187
1 142 146 148 163 165 171 178 183 191
1 143 144 147 164 167 172 177 185 190
1 141 145 149 162 166 173 179 184 189
3 90 268 313 316 457 460 580 583 619
5 92 270 315 318 458 461 582 585 621
4 91 269 314 317 459 462 581 584 620
9 136 302 447 448 453 454 616 636 637
7 137 303 445 449 451 455 618 634 638
8 135 301 446 450 452 456 617 635 639
6 130 285 373 395 417 441 540 542 609
6 131 284 374 396 416 440 539 541 608
6 129 283 375 394 415 439 538 543 607
9 127 294 364 392 418 438 548 565 596
8 128 293 365 391 420 437 547 566 595
7 126 292 366 393 419 436 549 567 597
9 118 282 367 401 426 435 559 572 605
8 119 281 369 402 425 434 561 573 606
7 117 280 368 400 424 433 560 571 604
8 115 298 387 397 411 429 555 575 602
9 116 300 385 398 409 427 553 576 603
7 114 299 386 399 410 428 554 574 601
3 132 295 376 379 421 442 544 562 613
4 133 296 377 380 422 443 545 564 614
5 134 297 378 381 423 444 546 563 615
3 123 289 370 382 406 430 556 577 610
5 124 290 372 383 407 431 558 578 611
4 125 291 371 384 408 432 557 579 612
3 120 286 361 388 403 412 550 568 598
4 121 287 363 390 404 413 552 570 600
5 122 288 362 389 405 414 551 569 599
9 112 279 310 356 359 530 534 537 594
8 113 277 311 355 358 529 532 535 592
7 111 278 312 357 360 531 533 536 593
6 109 276 306 339 347 352 519 521 633
6 110 275 305 337 346 353 518 522 631
6 108 274 304 338 348 354 517 520 632
3 105 271 307 340 343 349 523 526 628
4 106 273 308 341 345 350 525 527 629
5 107 272 309 342 344 351 524 528 630
9 103 265 322 330 334 503 508 513 590
