0 1 2 3 4 5 6 7 8 9 10
0 11 12 13 14 15 16 17 18 19 20
0 27 28 29 30 31 32 33 34 35 36
0 22 37 46 50 53 59 63 71 79 80
0 23 43 47 57 60 64 70 77 89 90
0 24 41 44 48 56 62 72 75 81 82
0 25 39 52 54 58 66 68 76 87 88
0 26 38 42 51 55 65 73 78 83 84
0 21 40 45 49 61 67 69 74 85 86
1 91 92 93 94 95 96 97 98 99 100
1 179 180 181 182 183 184 185 186 187 188
1 174 189 199 209 211 217 221 227 239 240
1 175 198 203 205 210 216 224 226 241 242
1 176 190 196 204 207 219 223 229 235 236
1 177 192 194 201 206 214 218 222 231 232
1 178 193 197 202 208 212 220 230 233 234
1 173 191 195 200 213 215 225 228 237 238
2 110 324 387 441 495 549 603 711 712 819
2 112 329 390 443 499 553 608 713 717 822
2 113 325 388 446 497 550 604 720 721 821
2 114 326 391 445 498 552 605 715 719 824
2 115 327 392 442 500 551 606 716 722 820
2 111 328 389 444 496 554 607 714 718 823
8 116 373 397 450 503 602 610 728 754 829
3 117 368 393 493 504 557 611 723 791 825
4 118 376 394 449 547 558 609 725 763 826
5 119 374 395 448 501 556 655 731 743 827
6 128 361 426 469 539 568 628 747 801 867
7 129 360 423 471 543 599 625 729 799 853
4 130 366 421 489 516 578 626 733 795 865
6 131 363 420 491 515 597 627 781 793 858
5 132 377 431 472 527 586 645 745 787 850
5 133 357 409 479 540 583 644 748 802 868
8 134 370 408 477 533 582 643 749 761 863
6 135 365 418 468 545 567 647 751 769 855
9 136 339 439 473 541 588 646 744 765 849
10 137 354 435 459 534 595 632 755 777 845
9 138 352 417 460 535 598 630 737 759 871
5 139 351 416 461 536 600 651 762 767 843
7 140 372 415 462 537 601 631 727 753 846
3 141 359 424 467 523 593 656 734 779 852
7 142 362 422 492 525 590 649 726 738 851
7 143 349 410 480 531 596 648 724 735 862
9 144 343 428 487 529 587 652 741 773 839
4 145 350 437 485 514 577 638 775 789 861
10 146 348 413 488 513 576 641 783 800 864
8 147 358 440 483 518 571 640 757 785 866
4 148 341 436 466 522 589 639 752 792 869
3 149 340 433 482 544 575 636 750 774 848
7 150 347 412 490 542 569 637 732 780 859
9 151 342 430 494 546 579 635 778 797 838
9 152 338 438 486 520 573 634 776 790 847
10 153 346 411 470 548 570 650 746 782 860
4 162 367 434 464 524 592 622 768 784 857
6 163 371 396 447 502 555 612 730 742 828
5 160 355 407 474 526 584 629 736 798 870
8 161 369 425 481 519 572 624 756 770 854
6 158 353 414 463 538 594 633 758 796 844
10 159 375 429 476 532 580 623 766 786 842
10 156 344 427 475 528 585 653 739 771 840
3 157 364 419 465 521 591 654 740 772 856
8 154 345 432 478 530 581 621 760 764 841
3 155 356 406 484 517 574 642 788 794 872
7 126 336 405 458 511 565 620 812 817 837
8 127 337 404 457 512 566 619 811 818 836
10 124 335 402 456 510 564 617 809 816 835
3 125 334 403 455 509 563 618 810 815 834
5 123 332 400 454 507 562 615 805 807 832
6 122 333 401 453 508 561 616 806 808 833
4 120 330 398 451 506 560 614 803 814 830
9 121 331 399 452 505 559 613 804 813 831
2 164 378 657 658 659 660 661 662 873 874
9 165 386 663 664 665 666 667 710 876 878
7 166 381 668 677 681 689 699 701 875 883
6 167 382 674 678 693 697 703 707 881 885
10 168 385 669 673 682 691 698 705 882 887
8 169 380 670 683 690 696 706 708 877 889
5 170 383 671 676 680 694 702 709 879 888
4 171 379 684 685 686 687 688 704 884 890
3 172 384 672 675 679 692 695 700 880 886
2 101 243 244 245 246 247 248 297 298 315
9 102 257 272 278 280 286 290 308 314 320
7 103 258 267 273 283 285 293 299 305 319
6 104 256 265 269 277 279 295 306 313 322
4 105 268 271 275 281 287 294 303 309 318
8 106 255 266 276 284 288 289 301 311 317
3 107 259 260 261 262 263 291 302 307 323
10 108 249 250 251 252 253 296 300 304 316
5 109 254 264 270 274 282 292 310 312 321
11 91 101 102 103 104 105 106 107 108 109
11 179 378 379 380 381 382 383 384 385 386
11 173 324 330 331 332 333 334 335 336 337
11 174 329 340 343 348 351 360 367 370 371
11 175 325 338 344 350 357 361 364 372 373
11 176 326 339 347 353 358 359 366 374 375
11 177 327 341 342 349 354 355 365 368 369
11 178 328 345 346 352 356 362 363 376 377
12 92 316 819 825 826 827 828 829 875 876
13 100 320 824 833 843 854 861 872 882 883
14 99 322 836 838 846 852 857 860 873 879
15 98 321 830 840 848 862 866 871 874 885
16 95 315 834 845 847 851 863 865 881 888
17 94 323 820 835 839 850 859 867 877 884
18 93 318 821 837 849 858 864 870 886 889
19 96 319 822 832 841 844 856 869 878 887
20 97 317 823 831 842 853 855 868 880 890
13 165 180 299 300 387 393 394 395 396 397
14 167 183 298 312 403 408 421 422 435 438
15 170 187 297 313 404 411 415 424 430 434
16 164 184 306 310 398 410 417 427 433 440
17 172 186 301 303 388 405 407 413 420 439
18 171 188 307 311 389 399 409 418 423 429
12 168 182 305 314 390 400 414 419 432 436
19 166 185 304 308 391 401 406 416 425 437
20 169 181 302 309 392 402 412 426 428 431
18 110 193 253 450 504 558 612 667 731 732
14 116 189 249 441 501 555 609 663 723 724
15 117 190 250 447 495 556 610 664 725 726
16 118 191 251 448 502 549 611 665 727 728
17 119 192 252 449 503 557 603 666 729 730
20 163 241 296 493 547 602 655 710 712 817
19 162 242 295 494 548 601 656 709 711 818
13 128 211 291 456 542 587 645 670 722 752
13 134 203 243 459 525 573 626 678 807 815
13 141 231 265 470 537 579 619 702 713 768
13 111 213 255 476 543 559 647 688 740 748
13 160 207 271 488 511 588 604 672 760 793
13 120 233 274 475 531 598 636 657 785 796
14 144 198 260 442 527 568 637 696 803 809
14 148 204 283 443 507 594 654 698 737 764
14 159 201 284 444 540 567 613 684 750 799
14 155 195 286 445 536 561 624 681 771 789
14 126 208 287 446 526 597 641 679 744 757
15 129 226 276 468 496 583 623 687 804 810
15 136 206 294 491 497 584 620 695 761 783
15 145 199 257 453 498 600 642 699 770 777
15 154 228 285 463 499 562 639 673 772 790
15 124 202 259 469 500 586 652 706 733 780
16 146 205 268 474 515 550 646 675 811 812
16 150 232 262 472 539 551 617 683 741 784
16 161 229 290 461 508 552 638 677 746 788
16 157 239 273 454 538 553 621 682 792 797
16 121 197 288 479 545 554 625 685 766 779
17 142 225 244 489 533 563 632 707 776 802
17 151 235 277 464 512 593 631 680 714 782
17 112 210 258 466 530 591 633 691 805 813
17 156 227 292 451 518 575 630 658 735 769
17 122 212 280 485 519 574 651 689 715 786
18 137 236 245 477 509 578 634 703 738 787
18 138 200 264 483 544 560 648 659 739 747
18 139 216 272 481 517 577 605 668 808 816
18 140 240 279 457 523 592 650 676 716 778
18 158 218 293 478 521 589 615 669 717 773
12 130 194 246 492 520 595 618 674 749 767
12 132 215 261 490 529 564 606 708 775 801
12 135 219 289 471 505 580 644 704 718 794
12 149 224 282 480 535 585 640 660 806 814
12 113 209 275 458 541 576 627 700 756 798
12 127 234 256 462 546 570 622 671 719 734
19 131 237 281 473 513 565 629 692 720 754
19 133 221 266 452 532 599 607 686 751 791
20 143 196 254 482 506 571 653 661 759 781
19 147 214 270 460 528 596 614 662 742 774
20 152 217 247 455 516 582 649 693 736 755
20 153 238 269 467 524 566 635 694 721 753
20 114 222 278 484 514 572 616 701 762 800
19 115 223 263 487 510 569 628 690 745 763
20 123 220 267 465 522 581 608 705 758 765
19 125 230 248 486 534 590 643 697 743 795
27 91 164 165 166 167 168 169 170 171 172
21 91 110 120 121 122 123 124 125 126 127
22 91 111 118 131 132 138 142 153 154 155
23 91 113 116 128 133 140 145 152 156 157
24 91 115 117 135 137 143 148 151 160 161
25 91 114 119 130 136 141 147 150 158 159
26 91 112 129 134 139 144 146 149 162 163
22 174 819 830 831 832 833 834 835 836 837
23 173 824 827 842 844 849 852 859 865 866
24 178 821 829 840 846 847 856 861 867 868
25 175 820 825 838 845 854 855 862 869 870
26 177 823 826 841 850 851 858 860 871 872
21 176 822 828 839 843 848 853 857 863 864
27 175 549 559 560 561 562 563 564 565 566
27 174 551 557 567 572 579 584 589 595 596
27 176 554 558 570 574 581 586 590 597 598
27 177 553 555 575 576 582 587 592 599 600
27 178 552 556 569 571 578 580 588 593 594
27 173 550 568 573 577 583 585 591 601 602
23 179 603 613 614 615 616 617 618 619 620
22 179 605 623 626 633 637 640 646 655 656
24 179 608 612 622 625 636 641 643 651 652
25 179 607 609 621 627 630 642 645 649 650
26 179 606 611 624 629 632 635 639 647 648
21 179 604 610 628 631 634 638 644 653 654
24 176 387 398 399 400 401 402 403 404 405
22 177 388 397 409 415 419 426 427 437 438
23 175 389 394 406 411 417 420 422 431 432
25 173 390 396 408 413 416 423 428 433 434
26 174 391 395 412 414 421 424 429 439 440
21 178 392 393 407 410 418 425 430 435 436
22 178 662 666 669 674 683 684 695 701 702
23 174 661 664 672 677 680 690 698 703 704
24 173 658 663 670 676 682 686 693 699 700
25 176 659 665 673 681 688 692 694 707 708
26 175 657 667 671 679 685 689 697 705 706
21 177 660 668 675 678 687 691 696 709 710
25 177 495 505 506 507 508 509 510 511 512
22 173 500 504 519 522 526 531 534 545 546
23 178 499 502 513 524 529 533 536 543 544
24 174 496 515 517 525 527 530 535 547 548
26 176 497 503 514 520 521 528 537 539 540
21 175 498 501 516 518 523 532 538 541 542
26 178 441 451 452 453 454 455 456 457 458
22 175 443 447 461 464 471 477 482 487 488
23 176 442 459 466 468 474 480 481 493 494
24 177 445 448 463 467 473 476 483 489 490
25 174 446 450 462 465 469 475 479 485 486
21 173 444 449 460 470 472 478 484 491 492
27 179 315 316 317 318 319 320 321 322 323
22 176 247 249 257 266 273 275 279 291 292
23 177 248 253 256 259 267 274 280 287 288
24 175 246 252 262 265 270 278 284 293 294
25 178 243 258 260 268 272 276 282 295 296
26 173 245 250 254 263 271 277 283 289 290
21 174 244 251 255 261 264 269 281 285 286
28 93 301 302 379 441 459 460 461 462 463
29 95 312 313 378 449 452 465 481 488 490
30 98 298 306 383 456 471 473 478 485 493
31 100 304 305 386 444 451 467 469 474 477
32 99 297 310 382 450 458 466 476 484 487
33 92 299 308 385 446 457 468 472 482 489
34 94 309 311 384 443 448 453 475 492 494
35 96 300 314 381 442 455 464 479 483 491
36 97 303 307 380 445 447 454 470 480 486
41 98 258 324 409 516 570 624 672 741 742
37 94 254 338 387 513 567 621 668 733 734
38 95 255 339 406 495 568 622 669 735 736
39 96 256 340 407 514 549 623 670 737 738
40 97 257 341 408 515 569 603 671 739 740
90 99 293 376 439 545 600 653 708 711 815
89 100 294 377 440 546 599 654 707 712 816
42 99 281 347 432 508 583 636 666 716 755
43 96 262 328 421 531 576 610 694 808 813
44 100 276 336 438 538 558 606 680 774 800
45 92 247 342 413 517 594 614 706 727 748
46 96 289 325 398 536 557 650 678 765 780
47 93 246 346 395 522 575 628 681 804 811
48 99 272 332 426 518 590 611 704 713 783
49 94 249 369 433 496 588 615 697 753 775
50 100 263 357 404 502 589 649 660 744 786
51 97 285 374 417 512 577 641 674 722 791
52 94 267 371 435 497 559 640 676 763 788
53 93 277 344 400 543 551 642 710 757 795
54 100 248 367 418 503 562 637 700 746 759
55 94 286 353 411 509 602 625 662 752 798
56 93 282 334 437 542 554 635 698 730 761
57 97 270 362 414 519 592 604 665 809 810
58 99 259 360 425 520 560 655 682 714 793
59 98 290 364 405 524 595 607 696 731 796
60 95 278 345 429 500 555 631 692 807 814
61 93 273 368 434 527 580 616 657 754 776
62 95 296 333 388 523 598 639 690 767 799
63 95 283 373 402 544 579 627 687 715 743
64 94 265 352 391 504 582 644 673 803 812
65 93 251 326 422 506 591 652 702 751 756
66 98 288 348 436 537 563 605 663 745 781
67 96 292 354 423 547 552 619 679 790 801
68 95 287 343 393 528 566 633 699 718 787
69 98 275 327 416 525 593 613 705 728 747
70 92 284 363 424 534 587 638 659 805 817
71 99 250 350 399 533 596 645 675 719 758
72 94 243 337 419 532 597 648 664 762 784
73 98 261 375 394 507 550 643 701 769 778
74 95 291 365 390 548 571 620 667 789 802
75 97 295 330 397 541 586 632 677 717 750
76 93 280 329 410 540 564 656 693 725 760
77 98 252 356 412 526 553 634 688 806 818
78 100 264 366 420 505 601 608 683 723 777
87 97 253 351 430 539 565 626 658 764 794
88 92 274 370 392 521 561 646 686 726 782
85 99 266 355 396 535 578 617 689 721 772
86 100 279 349 428 530 556 618 685 720 771
83 96 244 359 431 511 585 612 684 770 797
84 92 269 358 389 510 573 651 695 724 792
81 96 268 335 415 501 574 647 661 749 773
82 92 260 331 427 498 581 629 703 729 768
79 97 245 372 401 529 584 609 691 779 785
80 92 271 361 403 499 572 630 709 732 766
46 110 198 321 345 413 467 520 677 751 752
42 128 194 317 324 410 464 517 673 743 744
43 129 195 318 342 387 465 518 674 745 746
44 130 196 319 343 411 441 519 675 747 748
45 131 197 320 344 412 466 495 676 749 750
88 161 240 323 374 438 491 543 705 711 814
87 160 239 322 375 437 492 544 706 712 813
38 113 214 323 332 430 477 547 681 766 796
39 117 217 318 353 427 444 529 689 807 818
40 142 233 318 373 424 442 505 682 742 762
41 159 223 315 351 420 457 531 710 772 775
47 162 213 321 369 402 446 538 666 738 794
48 150 207 321 371 389 455 546 691 754 789
49 138 234 317 364 421 474 510 699 713 730
50 123 205 322 356 423 489 528 664 722 756
51 116 232 320 334 407 471 548 659 733 758
52 135 199 315 347 397 460 524 679 805 816
53 124 203 319 363 433 445 503 704 736 778
54 148 227 317 326 415 472 513 667 806 815
55 157 206 316 330 418 487 525 694 715 757
56 114 190 323 367 432 452 526 678 727 739
57 134 215 322 368 405 479 498 669 759 763
58 143 209 320 359 409 449 499 697 809 811
59 125 241 318 352 390 476 539 680 724 770
60 112 200 316 355 404 486 542 684 781 788
61 153 230 323 350 440 468 511 663 717 767
62 136 219 322 329 431 451 534 668 728 740
63 127 216 323 362 396 473 540 661 777 792
64 149 237 315 341 399 469 501 701 760 782
65 145 201 319 337 392 488 535 707 731 779
66 137 211 319 358 388 484 502 671 803 804
