0 1 2
0 3 4
0 6 10
0 7 8
0 5 9
1 11 12
2 13 17
2 15 26
2 16 25
2 14 24
1 18 23
1 19 22
1 20 21
3 27 28
4 29 33
4 31 42
4 32 41
4 30 40
3 34 39
3 35 38
3 36 37
6 45 47
7 43 48
5 44 46
7 59 72
5 62 68
6 63 70
7 55 67
6 61 64
5 60 65
7 56 66
6 57 69
5 58 71
10 83 88
9 84 89
8 82 90
9 80 85
10 81 86
8 79 87
10 50 76
10 51 78
9 52 77
8 53 73
8 54 75
9 49 74
11 91 92
11 99 100
11 101 103
11 98 102
13 93 97
13 142 145
13 143 147
13 144 146
12 205 212
12 206 210
12 207 209
12 208 211
17 107 141
21 204 218
22 202 216
23 203 217
26 199 215
24 200 213
25 201 214
19 140 196
20 135 194
20 136 195
22 137 198
23 138 193
23 139 197
18 132 184
18 117 189
18 118 190
19 119 180
20 120 185
21 121 181
21 122 192
22 123 182
22 124 183
17 125 175
17 126 176
17 127 177
24 128 186
24 129 187
26 130 188
25 131 191
25 133 179
26 134 178
19 116 173
21 114 172
23 115 174
18 113 166
19 108 171
20 109 170
25 110 167
26 111 168
24 112 169
15 148 159
14 149 161
14 150 156
15 151 162
14 152 165
16 153 164
16 154 157
16 155 158
15 160 163
15 96 106
16 94 104
14 95 105
27 219 220
27 227 228
27 229 231
27 226 230
29 221 225
29 270 273
29 271 275
29 272 274
28 333 340
28 334 338
28 335 337
28 336 339
33 235 269
42 330 346
40 331 344
41 332 345
37 329 343
38 327 341
39 328 342
35 268 324
36 263 322
36 264 323
38 265 326
39 266 321
39 267 325
34 260 316
34 245 317
34 246 318
35 247 308
36 248 309
37 249 313
37 250 320
38 251 314
38 252 315
33 253 303
33 254 304
33 255 305
40 256 310
42 257 311
40 258 312
41 259 319
41 261 307
42 262 306
35 244 301
37 242 300
39 243 302
34 241 294
35 236 299
36 237 298
41 238 295
42 239 296
40 240 297
31 276 284
30 277 289
30 278 287
31 279 290
30 280 293
32 281 292
32 282 285
32 283 286
31 288 291
31 224 234
32 222 232
30 223 233
44 349 352
45 347 350
43 348 351
43 360 365
45 361 370
44 362 366
44 363 374
43 364 372
44 367 375
45 368 376
45 369 373
43 359 371
89 724 730
90 723 728
88 722 729
86 719 727
87 720 725
85 721 726
48 485 486
46 487 491
47 488 495
48 489 498
48 490 497
46 492 496
47 493 494
46 499 501
47 500 502
47 503 506
46 504 507
48 505 508
90 683 693
88 684 694
89 685 690
90 686 700
89 687 696
88 688 689
88 691 698
89 692 699
90 695 697
87 665 675
85 666 676
86 667 672
87 668 682
86 669 678
85 670 671
85 673 680
86 674 681
87 677 679
70 664 718
71 662 716
72 663 717
68 661 715
69 659 713
72 660 714
63 656 712
66 653 707
67 657 708
71 658 709
64 654 710
65 655 711
62 650 706
66 647 701
67 652 702
69 651 703
60 648 704
61 649 705
59 484 640
59 473 644
68 474 641
69 475 646
70 476 645
71 477 642
73 478 635
74 479 636
75 480 637
76 481 638
77 482 639
