0 1 2
0 3 4
0 5 12
0 7 17
0 8 13
0 9 15
0 10 14
0 11 18
0 6 16
1 19 20
2 21 29
2 23 50
2 24 47
2 25 48
2 22 49
2 26 46
2 27 45
2 28 44
1 31 43
1 30 42
1 32 38
1 33 39
1 34 37
1 35 41
1 36 40
3 51 52
4 53 61
4 56 80
4 57 78
4 58 79
4 55 81
4 54 82
4 59 77
4 60 76
3 63 75
3 64 72
3 65 73
3 62 74
3 66 71
3 67 70
3 68 69
5 87 96
6 83 95
7 84 92
8 85 93
9 86 94
10 89 91
11 88 90
5 229 234
9 224 231
8 227 232
10 223 233
11 228 230
7 226 236
6 225 235
5 147 217
5 148 218
5 149 216
9 144 214
8 139 215
10 145 204
7 146 205
7 158 203
9 159 202
7 156 213
6 157 212
10 154 211
11 155 209
6 153 210
8 152 208
9 150 206
11 151 207
8 143 222
11 142 221
10 141 220
6 140 219
5 174 189
5 175 191
5 176 190
10 171 187
7 160 188
8 172 185
9 173 186
7 179 182
11 180 181
9 177 184
6 178 183
8 170 201
10 169 200
7 168 198
11 166 197
6 167 199
8 165 194
9 163 196
6 164 195
10 162 193
11 161 192
12 286 300
18 287 306
13 288 304
14 289 305
15 290 301
16 291 302
17 292 303
12 279 293
18 283 296
16 282 297
14 284 295
17 285 294
15 281 298
13 280 299
12 97 237
12 99 239
12 98 238
16 117 242
18 116 243
14 114 240
17 115 241
15 113 257
18 112 256
14 111 255
13 110 254
16 109 252
13 108 253
14 107 250
18 106 251
15 105 248
17 104 249
16 103 246
17 102 247
15 101 244
13 100 245
12 119 258
12 120 260
12 118 259
13 121 271
18 126 270
16 130 261
15 131 267
17 138 269
18 137 268
18 135 266
13 136 265
14 134 264
15 133 262
17 132 263
14 129 276
17 127 277
13 128 278
15 125 275
16 124 274
14 123 273
16 122 272
19 307 308
19 320 329
19 319 330
19 318 331
19 321 326
19 322 327
19 323 328
19 324 325
21 309 317
21 502 509
21 504 514
21 505 513
21 506 515
21 507 511
21 508 510
21 503 512
20 789 804
20 790 797
20 792 800
20 793 799
20 794 802
20 795 803
20 796 798
20 791 801
29 339 501
37 782 812
38 784 816
39 783 815
43 787 814
42 788 813
41 785 818
40 786 817
46 779 809
45 780 811
44 781 810
49 776 807
48 775 808
50 777 806
47 778 805
39 459 755
38 460 754
38 465 761
38 466 760
39 478 774
39 479 773
37 475 772
37 476 771
37 477 770
43 461 759
42 464 756
43 474 758
42 473 757
43 463 768
42 462 769
41 467 762
41 468 766
40 469 765
41 470 764
40 471 763
40 472 767
30 480 733
31 494 739
31 495 740
31 496 741
30 499 752
30 500 753
33 483 738
32 492 735
35 493 734
34 497 737
36 498 736
34 491 749
35 489 750
32 490 751
35 488 748
36 487 747
33 486 744
36 484 745
32 485 746
33 482 742
34 481 743
29 362 681
29 363 679
29 361 680
29 366 678
29 367 677
29 365 682
29 364 683
45 439 706
44 438 705
46 451 713
46 452 712
46 450 711
45 455 722
44 456 725
45 457 724
44 458 723
49 440 709
50 446 710
48 453 708
47 454 707
48 449 719
50 447 720
47 448 721
48 445 717
49 443 716
47 444 718
49 442 715
50 441 714
46 425 666
46 426 664
46 427 665
45 432 676
44 433 672
45 434 671
44 435 675
44 436 673
45 437 674
50 418 662
47 417 663
48 423 658
49 424 661
48 430 657
50 431 656
50 428 660
47 429 659
49 422 670
47 421 669
48 420 668
49 419 667
38 414 730
39 411 727
37 412 728
42 410 729
43 413 726
41 415 732
40 416 731
41 389 636
40 390 635
38 396 641
38 397 640
38 395 639
39 407 651
39 408 652
39 409 653
37 404 649
37 405 648
37 406 650
42 391 637
43 392 638
43 402 655
42 403 654
43 394 646
42 393 647
40 398 642
41 399 643
41 400 644
40 401 645
31 368 684
31 382 691
31 383 690
30 386 704
30 387 703
30 388 702
32 369 689
33 380 686
36 381 685
34 384 688
35 385 687
33 379 699
34 377 701
36 378 700
33 376 698
35 374 696
32 375 697
35 373 695
36 372 694
34 371 692
32 370 693
31 360 632
30 357 630
36 354 631
32 358 629
34 359 628
33 356 634
35 355 633
46 340 621
44 346 624
45 345 625
48 343 622
47 344 623
49 342 626
50 341 627
31 351 620
30 349 617
33 348 618
34 347 619
35 350 614
36 352 616
32 353 615
22 544 565
23 550 574
23 551 575
23 552 573
24 562 583
24 563 585
24 564 584
25 559 581
25 560 582
25 561 580
22 557 578
22 558 579
26 546 571
27 545 572
28 549 568
27 556 570
28 555 569
27 554 567
26 553 566
28 548 577
26 547 576
23 523 586
23 529 594
23 530 595
24 541 606
24 542 604
24 543 605
25 538 601
25 539 602
25 540 603
22 535 598
22 536 599
22 537 600
28 525 592
26 524 593
27 528 587
27 533 591
28 534 590
28 531 589
26 532 588
27 527 597
26 526 596
24 516 607
23 522 613
25 520 608
22 521 609
27 517 610
28 518 611
26 519 612
25 310 332
23 316 338
24 311 336
22 312 337
28 313 333
27 314 334
26 315 335
51 307 309
51 343 352
51 344 351
51 340 349
51 345 348
51 346 347
51 341 350
51 342 353
53 308 339
53 517 618
53 518 619
53 519 617
53 516 620
53 522 614
53 521 615
53 520 616
52 501 804
52 607 726
52 609 730
52 610 727
52 611 728
52 612 729
52 613 732
52 608 731
61 317 789
77 777 818
76 780 815
80 776 816
79 775 817
81 781 812
82 778 814
78 779 813
71 634 811
70 631 808
69 630 809
75 629 807
72 628 810
73 633 806
74 632 805
70 482 706
69 481 705
71 497 723
71 499 712
71 492 709
69 493 710
70 495 718
69 496 721
70 500 713
74 483 722
75 480 711
73 498 708
72 494 707
73 491 725
75 489 720
72 490 715
74 488 714
75 487 717
73 486 724
74 485 716
72 484 719
62 459 587
63 468 594
63 469 601
63 464 593
64 466 600
64 472 603
64 474 606
65 471 602
65 477 592
65 479 597
62 465 599
62 470 595
67 461 604
66 460 598
68 467 586
67 478 591
68 476 590
67 473 588
66 475 589
68 463 605
66 462 596
61 410 621
61 412 624
61 413 623
61 414 626
61 415 627
61 416 622
61 411 625
76 440 754
77 453 763
77 456 770
77 457 773
76 452 769
76 458 772
78 446 762
79 439 774
78 438 771
80 450 756
82 455 755
79 451 757
81 454 758
80 447 766
81 449 767
78 448 768
79 444 759
80 445 765
82 443 761
81 442 760
82 441 764
77 369 544
77 382 563
77 387 553
76 381 561
76 383 564
76 385 552
80 368 562
81 386 546
78 380 545
79 384 548
82 388 547
80 379 554
82 377 549
78 378 560
79 374 551
81 376 556
78 375 558
81 373 550
82 372 559
79 370 557
80 371 555
71 361 797
69 367 801
70 366 800
72 362 798
73 363 799
74 365 803
75 364 802
71 398 580
71 399 573
71 402 584
69 396 579
70 397 578
70 400 575
69 401 582
70 406 577
69 409 572
72 391 571
75 392 583
74 390 581
72 389 574
74 404 568
73 395 565
75 405 569
72 408 570
73 403 566
75 407 567
73 394 585
74 393 576
63 417 684
63 433 692
63 434 699
64 427 704
64 431 695
64 437 698
65 424 689
65 426 703
65 429 691
62 425 702
62 430 694
62 436 701
67 418 696
68 432 686
66 423 685
67 435 688
66 428 687
68 422 697
66 421 690
67 419 693
68 420 700
64 333 782
63 337 784
65 338 785
62 336 787
66 334 783
68 335 788
67 332 786
77 324 679
76 322 680
82 320 682
80 318 683
81 319 681
79 323 678
78 321 677
65 325 509
63 331 515
64 330 510
62 329 511
68 326 512
66 327 513
67 328 514
55 636 656
54 635 657
56 638 663
56 648 672
56 651 671
57 641 670
57 645 668
57 653 676
58 640 667
58 644 662
58 650 675
54 647 666
54 649 673
55 652 674
55 637 665
60 642 658
59 639 661
60 643 660
59 646 659
60 655 669
59 654 664
57 523 734
56 524 733
56 529 750
56 538 747
57 534 743
57 543 741
58 532 753
58 533 742
58 542 740
54 530 748
54 536 746
55 537 751
55 540 745
55 541 739
54 528 738
59 525 749
60 535 735
60 531 737
59 539 736
60 526 752
59 527 744
56 506 794
57 503 791
58 504 792
54 507 795
55 508 796
59 502 793
60 505 790
58 310 354
56 312 358
57 315 357
55 313 359
54 311 360
60 314 356
59 316 355
83 307 310
85 307 311
86 307 316
87 307 312
88 307 313
89 307 315
84 307 314
83 366 416
88 362 412
86 363 415
84 361 411
89 367 410
85 365 413
87 364 414
83 396 457
83 399 454
83 404 450
86 391 455
84 392 456
89 390 458
84 389 451
88 400 440
85 398 446
85 405 439
86 397 438
87 409 449
88 407 448
89 408 447
86 402 445
89 395 444
84 401 443
85 403 442
87 406 441
87 394 452
88 393 453
83 383 431
83 388 433
83 380 424
85 369 427
88 368 432
84 386 418
86 381 417
86 384 422
87 387 421
85 385 420
89 382 419
85 379 435
87 378 437
89 377 423
86 376 425
87 374 436
84 375 430
88 372 426
89 373 434
88 370 428
84 371 429
301 309 818
302 309 817
303 309 815
300 309 816
306 309 812
305 309 813
304 309 814
296 308 810
297 308 808
293 308 807
298 308 806
299 308 805
295 308 809
294 308 811
92 780 804
93 778 804
94 777 804
91 779 804
90 781 804
96 776 804
95 775 804
91 567 636
90 566 635
92 575 637
92 581 641
92 585 648
93 577 651
93 582 643
93 571 639
94 576 652
94 579 650
94 583 642
90 572 638
90 573 640
91 578 646
91 580 649
96 568 644
95 565 653
96 584 654
95 574 655
96 570 645
95 569 647
93 523 685
92 525 684
92 532 695
92 536 700
93 533 692
93 537 703
94 534 693
94 538 690
94 528 704
91 529 698
91 531 694
90 535 696
90 539 702
91 542 689
90 543 699
95 524 701
96 540 686
96 530 688
95 541 687
96 526 691
95 527 697
94 509 614
92 513 618
93 511 620
91 512 617
90 510 619
96 515 615
95 514 616
301 658 684
301 674 702
301 675 697
302 666 692
302 669 695
302 676 689
303 665 696
303 670 694
