0 1 2 3
0 4 5 6
0 9 17 18
0 10 15 16
0 7 12 14
0 8 11 13
1 19 20 21
1 33 38 39
1 32 40 41
1 35 37 43
1 34 36 42
3 25 51 62
2 24 50 63
3 27 53 60
2 26 52 61
2 31 54 57
3 30 55 56
3 29 49 59
2 28 48 58
2 23 45 46
3 22 44 47
4 19 22 23
4 32 50 51
4 33 54 55
4 35 49 52
4 34 48 53
6 21 61 62
5 20 60 63
5 31 38 56
6 30 39 57
6 28 41 44
5 29 40 45
6 27 43 46
5 26 42 47
5 25 37 58
6 24 36 59
9 19 28 29
10 19 24 25
7 19 27 31
8 19 26 30
9 33 62 63
10 32 60 61
9 32 46 47
10 33 44 45
7 41 49 63
8 40 48 62
10 42 49 57
10 43 48 56
7 39 47 48
8 38 46 49
7 37 55 61
8 36 54 60
9 37 53 57
9 36 52 56
7 36 45 51
8 37 44 50
12 21 50 56
11 20 51 57
18 21 49 58
17 20 48 59
16 21 47 54
15 20 46 55
14 20 44 52
13 21 45 53
12 26 33 59
11 27 33 58
14 30 32 58
13 31 32 59
17 25 41 54
18 24 40 55
17 27 42 50
18 26 43 51
15 29 39 50
16 28 38 51
16 27 40 52
15 26 41 53
14 24 38 53
13 25 39 52
14 29 43 54
13 28 42 55
12 28 35 60
11 29 34 61
15 31 35 62
16 30 34 63
12 25 34 46
11 24 35 47
18 31 34 44
17 30 35 45
18 23 39 60
17 22 38 61
14 23 42 62
13 22 43 63
12 22 40 57
11 23 41 56
16 23 37 59
15 22 36 58
