0 1 2 3 4
0 5 6 7 8
0 10 16 18 21
0 11 17 22 25
0 12 15 20 26
0 13 14 23 27
0 9 19 24 28
1 29 30 31 32
1 52 60 62 64
1 53 59 61 63
1 51 56 67 68
1 55 58 66 70
1 54 57 65 69
4 41 90 95 115
2 36 87 113 119
2 37 88 104 120
3 38 89 96 122
3 48 93 101 109
3 50 92 102 110
4 47 91 103 111
2 49 94 100 112
3 39 80 114 121
4 45 85 107 123
4 46 86 108 124
2 40 81 105 106
3 43 84 99 116
4 42 82 97 118
2 44 83 98 117
3 33 71 74 79
4 35 73 75 77
2 34 72 76 78
5 29 33 34 35
5 52 83 90 92
5 53 80 91 94
5 51 82 87 93
5 55 81 86 89
5 54 84 85 88
8 32 119 122 124
6 30 120 121 123
7 31 77 78 79
8 37 67 71 107
8 39 69 95 105
7 46 68 96 98
6 44 70 99 103
7 43 63 97 112
7 45 66 101 104
7 36 64 102 111
6 41 61 74 100
6 38 65 72 108
6 50 62 73 106
8 42 60 76 110
8 49 59 75 109
7 40 57 114 115
8 47 58 116 117
6 48 56 113 118
10 29 46 49 50
11 29 36 38 42
12 29 40 47 48
13 29 39 44 45
9 29 37 41 43
12 51 95 102 120
9 52 101 103 119
10 53 72 95 101
11 63 71 81 103
12 66 71 73 83
13 64 71 72 82
11 62 84 95 98
12 65 80 97 119
13 61 77 84 119
9 59 82 98 121
12 60 85 96 100
10 60 77 81 121
12 59 78 86 99
9 56 79 85 105
13 57 91 109 120
11 57 92 100 124
10 57 87 99 107
13 58 90 96 106
9 58 94 102 108
10 56 83 111 122
13 56 86 110 112
11 58 78 93 123
10 58 74 88 97
11 56 75 80 104
9 57 73 76 89
18 30 71 94 115
14 31 89 95 113
26 31 88 103 110
27 30 92 97 105
28 32 90 99 104
24 31 80 106 107
25 31 83 108 109
21 31 82 100 116
22 30 86 101 117
23 32 81 102 118
19 30 75 87 96
20 32 74 91 98
15 30 76 84 111
16 32 73 93 112
17 32 72 85 114
15 44 53 79 124
17 46 52 116 120
18 43 51 106 124
28 40 53 110 123
15 38 52 107 112
25 37 53 96 118
27 49 51 103 114
18 39 52 78 118
28 38 51 77 117
25 45 51 74 76
14 40 52 74 75
27 36 53 73 116
26 36 67 90 121
17 44 67 89 97
14 42 68 94 99
22 40 70 82 122
23 43 69 83 123
15 41 68 81 109
15 50 69 82 104
16 40 67 84 108
18 36 70 85 109
17 48 69 77 94
19 50 67 78 91
20 37 70 77 92
23 46 70 76 80
24 36 69 74 86
22 39 68 73 88
24 47 68 72 92
22 49 65 79 90
23 47 62 79 87
19 48 64 88 124
20 49 64 89 123
26 45 62 94 122
17 41 66 87 110
18 47 61 89 104
20 39 63 87 108
21 38 66 91 105
26 46 61 93 105
14 37 65 93 111
16 41 64 80 117
19 42 61 83 114
19 45 65 81 116
21 37 62 86 114
24 49 66 84 118
14 50 63 85 117
21 48 63 76 90
16 45 59 92 113
22 43 60 91 113
23 38 59 88 115
24 44 60 93 115
28 46 54 71 113
16 42 55 79 120
25 50 55 115 119
25 47 54 112 121
20 42 54 101 106
27 48 55 98 107
28 39 55 100 111
27 41 54 78 122
21 44 54 75 102
26 43 55 72 75
19 33 70 95 112
21 33 68 119 123
16 34 69 96 103
23 35 67 100 101
24 35 63 120 122
14 34 66 121 124
18 35 65 98 110
22 34 61 102 107
25 35 64 99 105
28 34 62 97 109
17 33 59 106 111
27 33 60 104 108
15 35 58 113 114
20 34 56 115 116
26 33 57 117 118
