0 1 2 3 4 5 6
0 7 8 9 10 11 12
0 14 25 29 33 47 53
0 15 21 24 28 37 45
0 16 22 27 35 36 49
0 17 30 32 40 43 50
0 18 20 34 38 44 48
0 19 26 31 42 51 52
0 13 23 39 41 46 54
1 55 56 57 58 59 60
1 105 114 117 131 137 140
1 104 113 116 132 134 141
1 102 115 119 135 139 142
1 103 118 120 133 136 138
1 101 108 127 128 129 130
1 107 109 110 121 124 125
1 106 111 112 122 123 126
5 78 192 270 308 319 325
2 66 187 249 250 251 318
3 67 188 207 252 322 328
3 99 202 248 303 317 321
2 100 201 247 302 316 320
3 97 200 243 246 301 338
6 98 199 244 245 300 337
3 93 196 234 242 295 299
3 96 193 233 241 288 292
5 91 194 237 239 290 297
6 92 198 235 238 289 296
6 94 197 232 240 293 298
2 95 195 231 236 291 294
6 68 189 203 253 254 255
2 69 190 204 208 329 339
5 70 191 205 209 256 304
4 71 173 257 258 259 323
6 72 174 210 305 324 330
4 73 175 211 260 331 332
4 89 186 229 286 314 327
6 90 185 230 287 315 326
5 86 183 227 280 282 335
5 87 182 226 283 285 336
2 88 184 228 281 284 334
3 84 181 216 218 278 312
4 81 177 220 222 279 309
5 82 180 223 225 276 313
2 83 179 219 224 277 310
2 85 178 217 221 275 311
6 74 176 206 261 262 340
4 75 168 263 264 265 266
3 76 169 212 267 306 333
4 80 171 215 272 273 342
5 79 172 214 271 274 341
4 77 170 213 268 269 307
4 62 147 148 156 157 158
5 63 146 149 159 160 161
2 61 143 152 153 154 155
3 65 144 151 164 165 167
6 64 145 150 162 163 166
7 55 61 62 63 64 65
7 104 173 183 187 188 198
7 105 185 186 192 200 201
7 102 175 178 191 196 197
7 103 177 182 189 190 202
7 101 171 193 194 195 199
7 106 169 170 174 180 184
7 107 168 172 176 179 181
8 56 322 325 329 330 331
9 60 318 326 333 335 342
10 59 319 324 328 332 339
11 57 321 327 334 336 340
12 58 320 323 337 338 341
11 80 129 237 244 292 294
11 83 139 212 220 270 293
12 86 130 211 218 251 253
12 99 140 210 219 272 283
9 72 127 209 243 247 309
10 81 131 206 249 280 288
9 73 132 152 226 248 300
10 76 133 153 205 286 289
11 70 134 156 166 204 216
10 88 142 151 215 274 298
12 90 141 149 228 279 299
9 67 135 146 231 232 314
9 78 136 147 162 233 281
10 82 128 148 150 234 310
11 68 137 144 257 275 276
12 89 138 143 235 267 304
10 95 125 230 259 285 303
8 96 126 224 255 256 269
8 100 120 225 262 273 301
11 66 118 227 242 266 305
12 94 119 208 241 265 313
10 97 113 203 263 290 316
9 85 117 165 223 254 258
11 92 124 160 246 260 302
8 93 116 161 222 284 287
10 84 123 159 213 245 311
11 77 122 155 207 214 315
8 71 115 154 239 240 312
12 91 121 157 163 217 252
8 79 114 145 158 291 306
9 75 109 261 271 277 278
9 69 112 238 295 297 307
8 87 108 221 264 296 317
8 98 110 167 229 250 282
12 74 111 164 236 268 308
14 55 75 86 88 92 96
15 55 69 74 79 80 97
16 55 70 81 85 98 99
17 55 66 67 71 82 90
18 55 76 77 78 94 100
19 55 72 83 84 87 89
13 55 68 73 91 93 95
15 101 277 279 282 298 321
16 101 252 255 259 270 318
18 104 220 291 297 324 338
19 105 237 250 261 323 328
15 102 216 225 281 286 337
16 103 228 243 276 296 332
