0 1 2 3 4 5 6 7
0 8 9 10 11 12 13 14
0 21 35 36 37 38 39 40
0 22 65 66 67 68 69 70
0 15 26 29 41 44 53 59
0 17 28 30 42 46 55 60
0 16 27 31 43 45 54 61
0 19 23 33 49 52 58 64
0 20 25 34 47 51 56 63
0 18 24 32 48 50 57 62
1 71 72 73 74 75 76 77
1 133 152 153 154 155 156 157
1 132 146 147 148 149 150 151
1 136 144 163 172 175 181 184
1 134 145 161 170 173 179 182
1 135 143 162 171 174 180 183
1 139 141 160 166 169 178 187
1 137 142 158 164 167 176 185
1 138 140 159 165 168 177 186
4 86 232 481 491 496 502 505
2 84 230 479 492 494 500 504
3 85 231 480 493 495 501 503
7 89 233 478 490 499 508 511
5 87 234 476 488 497 506 510
6 88 235 477 489 498 507 509
2 131 271 428 436 439 442 484
4 129 269 429 434 437 440 483
3 130 270 430 435 438 441 482
7 126 268 424 427 433 445 487
5 127 266 422 425 431 444 485
6 128 267 423 426 432 443 486
5 123 265 325 400 406 412 421
7 124 263 323 398 404 411 419
6 125 264 324 399 405 410 420
4 122 262 322 401 409 415 418
2 120 260 320 402 407 414 416
3 121 261 321 403 408 413 417
7 119 254 277 286 358 379 454
5 117 255 275 284 357 377 452
6 118 256 276 285 356 378 453
7 116 245 274 307 364 388 472
6 114 246 272 305 362 387 470
5 115 247 273 306 363 386 471
7 113 236 289 316 355 385 460
6 111 237 287 314 353 384 458
5 112 238 288 315 354 383 459
4 110 259 281 292 367 382 463
2 108 257 282 290 366 380 461
3 109 258 283 291 365 381 462
2 105 241 304 310 361 394 457
4 106 239 302 308 360 392 455
3 107 240 303 309 359 393 456
3 104 250 279 298 373 397 475
4 102 248 280 296 371 395 473
2 103 249 278 297 372 396 474
3 99 244 295 313 370 376 466
2 100 242 293 311 369 374 464
4 101 243 294 312 368 375 465
7 98 251 301 319 352 391 469
5 96 252 299 317 351 389 467
6 97 253 300 318 350 390 468
6 93 226 328 337 343 346 451
7 94 224 327 335 341 344 449
5 95 225 326 336 342 345 450
4 90 229 331 334 340 349 448
