0 1 2 3 4 5 6 7 8
0 9 10 11 12 13 14 15 16
0 20 27 28 29 34 35 50 51
0 21 26 30 31 40 41 44 45
0 17 64 65 66 67 68 69 70
0 25 36 48 52 59 76 79 88
0 24 37 49 53 58 75 80 87
0 23 33 47 54 57 72 73 84
0 22 32 46 55 56 71 74 83
0 18 39 43 61 63 78 82 86
0 19 38 42 60 62 77 81 85
1 89 90 91 92 93 94 95 96
1 168 176 203 204 205 206 207 208
1 169 177 191 192 193 194 201 202
1 167 178 195 196 197 198 199 200
1 171 182 184 210 216 226 229 236
1 170 181 183 209 215 225 230 235
1 175 188 190 212 218 223 232 234
1 174 187 189 211 217 224 231 233
1 173 180 186 213 220 222 228 238
1 172 179 185 214 219 221 227 237
6 105 318 360 426 434 436 446 690
5 104 317 359 425 433 435 445 689
4 109 316 358 428 432 438 444 691
3 108 315 357 427 431 437 443 692
3 107 320 362 424 429 440 442 688
4 106 319 361 423 430 439 441 687
8 164 336 390 394 606 630 643 728
7 163 335 389 393 605 629 644 727
7 160 350 392 412 604 614 623 724
8 159 349 391 411 603 613 624 723
7 156 338 400 409 600 628 642 718
8 155 337 399 410 599 627 641 717
7 154 340 406 416 592 619 638 716
8 153 339 405 415 591 620 637 715
6 166 334 388 420 608 612 636 721
5 165 333 387 419 607 611 635 722
5 162 342 396 398 596 618 631 714
6 161 341 395 397 595 617 632 713
6 150 348 404 413 602 610 640 726
5 149 347 403 414 601 609 639 725
4 158 346 408 417 598 616 634 720
3 157 345 407 418 597 615 633 719
3 152 344 402 422 594 622 626 711
4 151 343 401 421 593 621 625 712
8 146 328 376 386 567 578 584 586
7 145 327 375 385 568 577 583 585
5 148 330 378 384 572 573 576 588
6 147 329 377 383 571 574 575 587
4 144 332 380 382 570 580 581 590
3 143 331 379 381 569 579 582 589
2 142 322 356 538 544 554 557 564
2 141 321 355 537 543 553 558 563
2 140 326 352 540 548 551 556 562
2 139 325 351 539 547 552 555 561
2 138 324 354 541 546 550 560 566
2 137 323 353 542 545 549 559 565
8 136 314 516 518 526 530 532 693
7 135 313 515 517 525 529 531 694
8 134 312 510 511 520 524 534 696
7 133 311 509 512 519 523 533 695
5 132 310 508 514 522 527 536 698
6 131 309 507 513 521 528 535 697
8 124 304 374 460 468 474 497 708
7 123 303 373 459 467 473 498 707
5 130 308 372 476 483 494 500 702
6 129 307 371 475 484 493 499 701
6 120 298 368 466 482 486 491 710
5 119 297 367 465 481 485 492 709
4 128 306 364 472 487 502 504 704
3 127 305 363 471 488 501 503 703
3 126 302 366 464 479 490 496 700
4 125 301 365 463 480 489 495 699
4 122 300 370 462 469 478 506 706
3 121 299 369 461 470 477 505 705
2 117 296 451 452 453 454 455 456
2 118 295 447 448 449 450 457 458
2 116 288 673 674 675 676 677 678
8 113 292 646 656 662 668 670 686
7 112 291 645 655 661 667 669 685
6 111 290 648 650 658 664 680 684
5 110 289 647 649 657 663 679 683
4 115 294 652 654 660 666 672 682
3 114 293 651 653 659 665 671 681
2 97 281 282 283 284 285 286 287
7 103 240 246 254 262 264 274 277
8 102 239 245 253 261 263 273 278
6 99 242 250 256 257 266 270 280
5 98 241 249 255 258 265 269 279
3 101 244 247 252 260 268 272 276
4 100 243 248 251 259 267 271 275
9 89 97 98 99 100 101 102 103
9 168 296 297 298 301 302 311 312
9 169 295 299 300 303 304 309 310
9 167 288 315 316 333 334 335 336
9 171 292 307 317 322 332 344 350
9 170 291 308 318 321 331 343 349
9 175 290 305 319 326 330 338 339
9 174 289 306 320 325 329 337 340
9 172 294 313 323 328 342 345 348
9 173 293 314 324 327 341 346 347
10 90 281 711 712 713 714 715 716
16 96 287 690 698 699 703 724 728
15 95 286 689 697 700 704 723 727
14 94 283 688 696 702 707 720 721
13 93 282 687 695 701 708 719 722
12 92 285 692 693 706 709 718 726
11 91 284 691 694 705 710 717 725
15 112 214 358 460 465 540 569 595
16 113 213 357 459 466 539 570 596
12 115 209 388 464 508 538 567 592
11 114 210 387 463 507 537 568 591
14 110 212 390 462 509 542 571 594
13 111 211 389 461 510 541 572 593
15 137 204 416 419 446 505 590 686
16 138 203 415 420 445 506 589 685
12 141 206 373 418 504 588 643 684
11 142 205 374 417 503 587 644 683
14 140 208 371 421 536 585 641 681
13 139 207 372 422 535 586 642 682
15 147 202 355 441 443 531 534 679
16 148 201 356 442 444 532 533 680
15 164 230 271 362 499 566 628 631
16 163 229 272 361 500 565 627 632
15 136 232 279 407 555 621 623 636
16 135 231 280 408 556 622 624 635
11 166 234 269 412 530 561 625 633
12 165 233 270 411 529 562 626 634
12 130 236 276 410 439 559 617 629
11 129 235 275 409 440 560 618 630
13 127 228 278 359 438 563 619 640
14 128 227 277 360 437 564 620 639
13 108 237 274 414 436 502 557 637
14 109 238 273 413 435 501 558 638
15 133 196 268 404 405 527 616 678
16 134 195 267 403 406 528 615 677
13 162 198 266 370 399 496 614 676
14 161 197 265 369 400 495 613 675
12 107 200 264 368 401 433 497 674
11 106 199 263 367 402 434 498 673
14 160 192 260 354 491 584 611 672
13 159 191 259 353 492 583 612 671
11 126 194 262 352 494 581 610 670
12 125 193 261 351 493 582 609 669
10 105 220 249 376 429 548 605 660
10 104 219 250 375 430 547 606 659
10 158 225 245 378 431 545 604 658
10 157 226 246 377 432 546 603 657
10 155 218 248 379 554 602 607 667
10 156 217 247 380 553 601 608 668
15 122 224 239 385 483 486 544 665
16 121 223 240 386 484 485 543 666
11 132 222 242 381 487 524 549 661
12 131 221 241 382 488 523 550 662
13 123 215 244 383 489 526 551 663
14 124 216 243 384 490 525 552 664
10 116 178 471 472 475 476 517 518
10 117 176 479 480 481 482 519 520
10 118 177 473 474 477 478 521 522
12 145 188 398 426 428 458 511 653
11 146 187 397 425 427 457 512 654
14 143 189 396 423 456 513 516 655
13 144 190 395 424 455 514 515 656
15 152 186 254 365 448 573 599 650
16 151 185 253 366 447 574 600 649
16 150 181 255 364 452 468 577 651
15 149 182 256 363 451 467 578 652
11 154 179 252 391 454 469 576 648
12 153 180 251 392 453 470 575 647
13 120 184 258 394 449 579 598 645
14 119 183 257 393 450 580 597 646
20 89 118 133 134 143 144 165 166
21 89 117 131 132 151 152 159 160
17 89 110 111 112 113 114 115 116
25 89 105 109 121 123 130 142 164
24 89 104 108 122 124 129 141 163
23 89 119 125 127 138 146 147 156
22 89 120 126 128 137 145 148 155
18 89 107 136 140 150 154 158 162
19 89 106 135 139 149 153 157 161
20 169 281 357 358 371 372 391 392
21 168 281 363 364 387 388 399 400
17 167 281 365 366 373 374 413 414
25 200 294 454 589 599 639 695 713
24 199 293 453 590 600 640 696 714
23 237 292 428 440 536 565 697 716
22 238 291 427 439 535 566 698 715
20 225 294 385 490 563 587 709 728
20 226 293 386 489 564 588 710 727
21 236 290 362 506 554 638 708 725
21 235 289 361 505 553 637 707 726
24 194 290 422 458 481 516 616 724
25 193 289 421 457 482 515 615 723
18 224 292 420 470 480 498 552 722
19 223 291 419 469 479 497 551 721
20 220 290 369 433 467 502 560 627
20 219 289 370 434 468 501 559 628
21 231 294 393 426 443 494 526 547
21 232 293 394 425 444 493 525 548
25 233 290 366 522 534 561 580 583
24 234 289 365 521 533 562 579 584
24 222 294 406 424 550 607 613 636
25 221 293 405 423 549 608 614 635
22 197 292 383 451 478 485 529 633
23 198 291 384 452 477 486 530 634
