0 1 2
0 3 4
0 5 6
1 7 8
2 9 14
2 10 11
1 12 13
3 15 16
4 17 22
4 18 19
3 20 21
5 23 24
6 25 30
6 26 27
5 28 29
7 31 32
7 37 38
9 33 35
10 34 36
9 53 54
10 47 48
8 59 61
8 60 62
12 39 49
11 40 50
12 43 51
14 44 52
13 46 57
14 45 58
13 42 55
11 41 56
15 31 33
15 41 42
17 34 39
18 32 40
17 52 60
18 53 55
16 48 62
16 49 58
20 36 59
19 43 47
20 44 51
22 35 57
21 46 50
19 45 61
21 38 54
22 37 56
23 31 34
23 45 46
25 33 43
26 32 44
25 50 60
26 48 57
24 51 56
24 53 62
30 36 55
27 39 54
28 40 49
28 35 59
29 42 52
27 41 61
29 38 47
30 37 58
