0 1 2 3 4
0 5 6 7 8
0 9 34 35 36
0 10 16 17 18
0 12 24 26 29
0 13 21 28 32
0 14 23 25 33
0 15 19 22 30
0 11 20 27 31
1 37 38 39 40
1 65 90 91 92
1 67 87 88 89
1 66 76 77 78
1 68 73 79 80
1 69 74 81 82
1 70 75 83 84
1 71 72 85 86
4 44 122 163 164
2 45 120 160 161
3 46 121 159 162
4 48 119 140 158
2 49 106 127 146
2 50 107 128 147
4 51 108 129 148
3 47 109 130 149
4 52 103 131 150
3 53 104 132 151
3 54 105 133 152
4 55 102 134 153
2 56 110 124 154
3 57 111 125 155
3 58 112 126 156
2 59 113 123 157
2 60 114 135 142
4 61 115 136 143
2 62 116 137 144
4 63 117 138 145
3 64 118 139 141
2 41 97 98 101
3 42 93 94 100
4 43 95 96 99
5 37 41 42 43
5 65 120 121 122
5 67 106 109 119
5 66 114 117 118
5 69 103 107 112
5 70 104 108 110
5 71 105 113 115
5 68 102 111 116
8 38 100 161 164
6 39 99 160 162
7 40 101 159 163
6 44 92 94 98
8 46 90 95 97
7 45 91 93 96
7 48 78 135 149
8 49 76 139 158
6 50 79 134 156
8 51 85 133 154
6 47 77 138 146
7 58 73 137 150
7 55 74 128 155
6 54 75 129 157
6 56 72 136 151
7 61 83 124 152
8 52 80 125 147
8 62 81 126 153
7 53 86 123 148
8 63 87 130 142
8 59 84 132 143
6 57 82 131 144
7 64 88 127 145
6 60 89 140 141
9 37 44 45 46
10 37 52 56 64
11 37 48 54 62
12 37 49 57 61
13 37 50 53 63
14 37 51 58 60
15 37 47 55 59
10 65 149 153 157
12 65 142 148 156
14 65 143 146 155
13 65 144 152 158
11 65 145 147 151
15 65 141 150 154
9 65 99 100 101
10 82 114 133 163
10 83 112 140 161
10 76 108 137 162
11 73 115 139 160
13 74 118 136 161
14 75 107 130 163
12 72 109 128 164
13 84 103 127 162
14 78 104 134 161
15 79 105 135 164
12 88 102 132 160
11 89 111 124 164
13 77 110 125 163
15 86 119 126 160
14 81 117 123 162
12 80 113 138 159
15 87 116 129 159
11 85 106 131 159
10 79 96 106 132
10 86 97 111 138
10 87 94 115 128
13 73 97 109 129
11 74 98 108 130
12 75 95 118 137
14 72 96 116 139
12 81 93 110 140
15 76 93 107 136
11 84 93 114 134
12 78 98 103 133
15 82 95 104 127
14 88 97 105 131
13 85 94 102 135
14 80 94 119 124
15 83 98 117 125
13 89 96 113 126
11 77 95 112 123
9 67 135 138 139
9 66 127 130 140
9 71 124 129 132
9 69 125 134 137
9 68 126 128 131
9 70 123 133 136
16 38 102 123 141
18 40 109 134 154
17 39 113 130 150
29 38 114 129 155
30 38 110 131 149
31 38 107 138 152
33 38 115 127 156
32 38 119 137 151
19 40 103 139 157
20 39 104 128 158
21 40 105 140 147
22 39 118 124 153
23 39 106 125 148
24 40 108 126 146
25 40 111 136 142
26 39 112 135 143
27 40 117 132 144
28 39 116 133 145
36 38 96 98 121
34 39 93 97 122
35 40 94 95 120
16 47 90 103 124
17 55 92 110 139
18 59 91 118 131
28 48 92 107 132
25 49 91 112 129
27 50 91 119 133
26 51 92 111 127
29 58 90 106 136
30 64 90 113 134
31 53 90 116 140
32 54 90 117 128
33 57 90 108 135
21 62 91 104 138
20 63 92 105 137
19 56 91 102 130
24 60 91 115 125
23 61 92 114 126
22 52 92 109 123
16 48 72 120 125
18 54 80 122 127
17 62 88 121 136
28 49 86 121 134
29 50 83 122 139
19 51 77 121 128
25 47 85 122 137
23 59 73 121 140
30 60 74 122 132
27 52 75 121 135
20 64 81 120 129
22 58 84 120 138
26 53 76 120 131
33 55 89 120 133
32 61 79 120 130
24 63 82 121 124
31 56 78 122 126
21 57 87 122 123
16 44 73 104 142
18 46 89 107 148
17 45 85 117 156
24 44 84 116 149
27 44 76 113 155
19 44 81 106 152
33 44 86 118 147
32 44 88 112 154
26 46 74 119 157
30 45 75 111 158
21 46 72 114 150
23 45 87 103 151
29 45 77 105 153
20 46 83 102 146
31 45 82 109 143
22 46 78 115 144
25 46 79 110 145
28 45 80 108 141
36 48 87 118 146
34 49 89 117 149
36 50 81 111 150
35 51 83 113 151
35 47 88 114 158
35 57 73 107 153
35 52 74 116 156
34 53 75 115 154
34 59 72 108 152
34 62 79 103 155
36 61 85 104 157
36 56 84 105 148
34 58 82 102 147
34 64 77 119 142
35 54 86 110 143
36 55 80 112 144
36 60 76 109 145
35 63 78 106 141
16 49 74 99 105
17 57 84 101 119
18 61 77 100 116
25 48 82 100 113
22 50 88 100 108
31 51 79 101 118
28 47 81 101 115
26 56 73 100 117
21 55 75 100 106
30 63 72 101 112
24 64 85 99 107
27 58 87 99 110
19 53 80 99 114
32 59 78 99 111
33 62 83 99 109
20 60 86 100 103
29 52 89 101 104
23 54 76 101 102
16 50 66 143 159
17 53 69 146 164
18 63 70 155 160
29 48 68 154 162
22 49 68 151 163
21 51 69 149 160
27 47 68 148 161
20 59 67 156 163
24 54 67 150 161
30 61 67 147 162
25 52 66 152 160
28 58 66 157 164
31 55 71 142 162
23 64 70 144 164
19 57 71 145 161
26 62 71 141 163
33 56 69 158 159
32 60 70 153 159
16 51 67 93 144
18 58 71 98 158
17 60 68 95 152
19 48 70 97 156
31 49 70 94 150
23 50 71 95 149
26 47 70 96 147
25 53 67 98 153
28 56 67 95 155
20 57 66 96 154
24 55 66 97 151
30 62 66 94 148
33 63 68 93 157
32 52 71 93 146
22 54 69 96 142
21 64 68 98 143
29 59 69 94 145
27 61 69 97 141
35 41 91 162 164
36 42 90 160 163
34 43 92 159 161
16 41 75 126 145
18 43 81 135 151
17 42 78 129 147
20 41 80 136 149
22 41 85 140 155
26 41 87 134 152
33 41 77 132 150
32 41 82 139 148
30 43 73 133 146
23 42 74 138 154
27 42 72 127 153
21 43 76 124 156
31 43 88 125 157
24 42 79 123 158
28 42 83 131 142
19 42 89 137 143
29 43 86 130 144
25 43 84 128 141
