0 1 2 3 4 5
0 6 7 8 9 10
0 12 18 23 24 25
0 13 15 21 27 30
0 14 16 19 20 22
0 11 17 26 28 29
1 31 32 33 34 35
1 57 66 67 68 74
1 58 69 71 72 73
1 59 60 64 70 75
1 56 61 62 63 65
2 40 92 108 124 140
2 42 94 111 127 143
2 43 93 109 125 142
2 41 95 110 126 141
5 45 106 112 130 147
3 46 104 120 137 155
4 47 100 113 138 150
3 48 105 123 133 151
5 49 97 121 136 144
4 50 103 122 132 154
3 51 107 116 139 148
5 52 101 119 135 152
4 53 99 118 129 146
3 54 98 117 134 153
5 55 102 114 128 149
4 44 96 115 131 145
2 36 76 77 78 79
3 38 81 84 86 89
5 39 80 83 85 90
4 37 82 87 88 91
6 156 157 158 159 160
6 177 178 185 189 196
6 179 187 190 191 194
6 180 183 184 188 193
6 181 182 186 192 195
10 262 264 271 274 277
7 263 268 275 276 280
8 265 266 269 273 278
9 261 267 270 272 279
9 162 205 225 240 255
9 163 197 215 236 256
10 164 212 219 243 247
8 165 199 224 235 251
9 166 209 217 242 258
7 167 207 220 229 253
7 168 200 227 238 260
10 169 206 218 232 245
8 170 202 221 239 249
7 171 211 226 234 254
9 172 203 214 244 259
7 173 210 223 230 257
10 174 198 228 241 246
8 175 204 222 237 252
8 176 208 216 233 250
10 161 201 213 231 248
14 282 288 289 294 300
11 283 291 292 293 295
12 284 285 286 296 298
13 281 287 290 297 299
11 366 387 399 424 439
11 367 394 406 427 438
14 368 382 408 413 433
12 369 385 401 417 441
14 370 390 409 423 436
13 371 389 412 426 430
11 372 388 407 416 444
13 373 392 398 414 431
11 374 396 402 421 434
12 375 391 404 428 443
12 376 383 397 415 437
13 377 395 410 418 432
14 378 384 411 422 442
12 379 386 400 425 435
14 380 393 405 420 440
13 365 381 403 419 429
30 702 725 734 756 769
15 703 722 747 759 772
16 704 719 736 762 765
17 705 732 746 750 767
18 706 728 740 763 780
19 707 724 738 753 770
20 708 723 743 764 775
21 709 730 741 758 768
22 710 731 737 757 777
23 711 721 735 749 779
24 712 726 745 760 766
25 713 718 742 755 773
26 714 727 748 754 778
27 715 729 733 761 774
28 716 720 744 752 771
29 701 717 739 751 776
29 318 553 595 636 682
28 319 556 601 624 677
17 320 550 597 630 669
21 321 551 604 634 679
24 322 541 592 625 670
15 323 547 593 632 676
27 324 549 602 621 675
18 325 542 598 633 672
20 326 548 603 626 684
16 327 554 594 629 671
30 328 544 596 622 678
22 329 552 590 628 683
19 330 546 599 627 680
26 331 543 600 631 681
25 332 555 589 635 674
23 317 545 591 623 673
23 350 540 564 644 667
25 351 529 568 649 656
22 352 526 558 646 666
29 353 532 566 641 665
15 354 539 570 651 657
16 355 530 557 637 655
30 356 536 563 645 662
20 357 538 562 638 663
21 358 525 569 650 659
27 359 527 565 640 658
26 360 534 571 648 664
28 361 531 561 642 661
17 362 528 572 643 653
18 363 535 567 639 668
19 364 537 559 647 660
24 349 533 560 652 654
21 334 521 584 610 691
27 335 524 587 617 697
17 336 518 575 605 685
22 337 515 576 612 694
24 338 516 579 609 687
26 339 522 574 614 693
18 340 517 585 618 700
30 341 512 586 613 689
19 342 519 578 615 690
15 343 511 573 611 696
20 344 520 580 619 692
23 345 513 588 608 699
16 346 509 577 620 686
25 347 514 583 616 698
28 348 523 581 606 688
29 333 510 582 607 695
23 302 453 469 480 503
30 303 459 473 491 501
16 304 455 466 490 493
19 305 449 471 485 499
22 306 460 464 482 507
17 307 454 462 483 494
26 308 448 475 488 508
15 309 445 472 489 496
21 310 446 465 478 500
25 311 450 467 479 497
18 312 456 474 484 504
29 313 451 461 492 506
20 314 457 470 477 505
24 315 447 476 481 495
28 316 452 468 486 502
27 301 458 463 487 498
31 781 782 783 784 785
31 807 810 811 814 824
31 808 812 819 820 823
31 809 816 818 821 822
31 806 813 815 817 825
35 1327 1379 1389 1390 1392
32 1328 1380 1381 1386 1387
33 1329 1378 1384 1385 1391
34 1326 1382 1383 1388 1393
32 1331 1353 1366 1403 1420
33 1332 1361 1376 1407 1419
32 1333 1346 1370 1406 1418
34 1334 1355 1368 1400 1413
32 1335 1356 1362 1397 1417
34 1336 1349 1365 1409 1412
35 1337 1347 1377 1399 1424
32 1338 1357 1372 1395 1423
33 1339 1359 1364 1402 1422
33 1340 1351 1369 1394 1416
34 1341 1358 1375 1404 1411
35 1342 1354 1374 1396 1414
33 1343 1348 1367 1408 1421
34 1344 1360 1373 1398 1410
35 1345 1350 1363 1405 1425
35 1330 1352 1371 1401 1415
140 3762 3778 3794 3810 3890
143 3764 3779 3795 3811 3892
141 3765 3781 3796 3812 3891
142 3763 3780 3797 3813 3893
155 3766 3786 3802 3825 3905
144 3767 3793 3800 3818 3900
145 3768 3790 3809 3817 3903
146 3769 3782 3803 3820 3899
147 3770 3787 3807 3822 3894
