0 1 2 3 4 5 6 7 8 9
0 10 11 12 13 14 15 16 17 18
0 20 25 26 34 35 36 55 63 67
0 21 31 32 41 50 54 57 65 66
0 22 29 38 39 45 47 59 64 69
0 23 27 28 30 44 52 56 60 62
0 24 33 42 43 49 51 53 61 71
0 19 37 40 46 48 58 68 70 72
1 73 74 75 76 77 78 79 80 81
1 143 144 145 156 157 158 159 160 161
1 139 147 148 166 170 172 174 177 189
1 140 149 150 164 165 167 168 190 191
1 141 151 155 163 178 180 183 184 185
1 142 146 154 162 175 176 179 186 188
1 138 152 153 169 171 173 181 182 187
3 102 256 493 494 495 496 497 498 499
8 136 303 454 455 581 583 589 622 639
9 137 302 456 457 580 582 588 623 638
2 90 268 328 329 458 459 460 584 590
3 91 269 330 331 332 461 591 592 624
4 92 270 333 334 335 462 463 593 594
3 134 300 446 449 450 452 579 621 636
7 135 301 447 448 451 453 578 620 637
3 132 299 438 439 441 444 572 573 617
7 133 297 434 437 440 445 576 577 618
2 131 298 435 436 442 443 574 575 619
3 125 292 400 417 418 419 426 559 564
3 126 291 403 422 423 427 430 563 567
6 127 295 401 402 410 412 431 558 561
8 130 294 405 409 413 416 433 560 562
9 124 296 408 414 420 421 424 566 569
9 129 290 399 407 411 428 432 565 570
2 128 293 404 406 415 425 429 568 571
7 123 288 326 398 555 556 615 616 635
8 122 289 327 397 554 557 613 614 634
6 93 271 304 336 464 465 466 595 596
4 94 272 305 337 467 468 469 585 625
9 95 273 306 338 339 470 471 597 626
4 117 285 321 389 396 544 545 546 608
4 120 287 323 387 391 543 549 551 611
5 121 284 322 390 394 541 547 550 612
6 119 286 325 388 393 540 552 553 609
2 118 283 324 392 395 539 542 548 610
6 114 281 319 380 383 386 535 538 631
7 115 280 320 378 381 384 533 536 633
8 116 282 318 379 382 385 534 537 632
6 110 275 314 366 374 377 519 520 531
7 109 279 313 371 372 375 521 522 524
8 112 276 315 365 370 376 518 525 526
8 113 278 316 363 367 373 527 528 529
9 111 277 317 364 368 369 523 530 532
