0 1 2
0 3 4
0 5 6
1 7 8
2 9 14
2 10 11
1 12 13
3 15 16
4 17 22
4 18 19
3 20 21
5 23 24
6 25 30
6 26 27
5 28 29
7 31 32
7 37 38
9 33 35
10 34 36
9 53 54
10 47 48
8 59 62
8 60 61
12 39 49
14 40 50
13 43 51
11 44 52
13 46 58
14 45 57
12 42 55
11 41 56
15 31 33
15 41 42
17 34 39
18 32 40
17 53 60
18 47 55
16 48 58
16 50 62
20 36 51
22 43 52
21 44 49
19 35 59
21 45 61
19 46 56
20 38 54
22 37 57
23 31 34
23 45 46
25 33 43
26 32 44
25 47 61
26 53 58
24 52 62
24 54 55
27 36 59
30 39 50
28 40 51
29 35 49
28 41 60
27 42 57
29 37 48
30 38 56
