0 1 2 3
0 4 5 6
0 8 9 10
0 7 11 12
1 13 14 15
1 23 26 27
1 22 24 25
2 18 32 36
3 21 35 39
3 20 34 38
2 19 33 37
3 17 30 31
2 16 28 29
4 40 41 42
4 48 49 52
4 47 50 51
6 61 62 66
5 63 64 65
5 44 54 59
6 45 56 58
6 46 55 57
5 43 53 60
8 68 70 72
7 67 69 71
8 82 86 89
8 83 87 90
7 84 85 91
7 81 88 92
12 110 114 120
9 111 116 118
10 112 115 117
11 109 113 119
10 78 103 106
9 79 104 105
11 80 102 107
12 77 101 108
9 74 94 97
10 75 95 98
11 76 96 99
12 73 93 100
13 121 122 123
13 131 132 135
13 130 133 134
15 191 196 197
14 190 198 199
15 193 201 206
14 194 202 205
14 195 203 204
15 192 200 207
29 345 349 360
28 344 348 361
31 346 351 363
30 347 350 362
36 328 336 352
37 329 337 353
39 330 338 354
38 331 339 355
32 332 340 356
33 333 341 357
35 334 342 358
34 335 343 359
28 183 317 325
29 182 316 324
31 184 318 326
30 185 319 327
27 187 312 320
24 188 315 323
25 189 314 322
26 186 313 321
36 174 304 308
37 175 305 309
39 176 306 310
38 177 307 311
27 179 297 300
25 180 299 302
24 181 298 303
26 178 296 301
23 163 276 281
22 164 278 282
22 165 279 283
23 162 277 280
36 170 272 292
37 171 273 293
39 172 274 295
38 173 275 294
28 167 284 289
29 166 285 288
30 168 287 291
31 169 286 290
32 154 256 260
33 155 257 261
35 156 258 262
34 157 259 263
27 159 264 268
24 160 266 270
25 161 267 271
26 158 265 269
23 149 253 255
22 148 252 254
32 150 244 248
33 151 245 249
34 152 247 251
35 153 246 250
18 224 228 236
19 225 229 237
21 226 230 238
20 227 231 239
18 220 232 240
19 221 233 241
21 222 234 243
20 223 235 242
17 214 215 219
16 212 213 218
17 210 211 217
16 208 209 216
18 126 140 144
19 127 141 145
21 128 142 146
20 129 143 147
17 125 138 139
16 124 136 137
40 121 124 125
40 149 150 153
40 148 151 152
66 122 361 363
65 123 360 362
42 190 345 346
41 191 344 347
42 220 274 313
41 222 272 312
42 223 273 314
41 221 275 315
66 255 292 295
65 254 293 294
65 240 243 253
66 241 242 252
58 133 289 326
59 130 288 327
60 132 291 324
57 131 290 325
52 134 216 219
51 135 217 218
48 236 265 354
47 238 264 352
49 237 266 355
50 239 267 353
54 269 308 358
53 268 310 356
55 271 311 357
56 270 309 359
48 184 204 285
49 185 206 284
50 182 205 286
47 183 207 287
62 187 232 250
61 186 234 248
63 188 235 249
64 189 233 251
58 174 281 338
57 176 280 336
59 175 282 339
60 177 283 337
56 179 228 342
55 178 230 340
54 180 229 343
53 181 231 341
64 170 246 321
63 172 244 320
62 171 247 323
61 173 245 322
54 167 203 215
55 168 202 212
56 166 201 214
53 169 200 213
52 163 260 334
51 162 262 332
52 164 261 335
51 165 263 333
50 140 301 306
49 142 300 304
48 143 302 305
47 141 303 307
60 144 226 277
59 146 224 276
58 147 225 278
57 145 227 279
62 138 196 349
63 136 197 351
64 139 198 348
61 137 199 350
44 256 297 330
43 258 296 328
45 257 299 331
46 259 298 329
44 193 209 318
45 195 208 319
46 192 210 316
43 194 211 317
46 126 156 159
45 128 154 158
44 129 155 160
43 127 157 161
68 121 126 129
67 121 127 128
67 164 168 170
68 163 169 171
68 165 166 172
67 162 167 173
118 123 352 359
117 122 355 356
119 123 354 357
120 122 353 358
70 191 340 343
69 190 341 342
72 190 336 339
71 191 337 338
71 240 266 290
72 243 267 289
72 241 265 291
71 242 264 288
69 210 244 302
70 211 245 300
70 208 246 303
69 209 247 301
119 248 282 286
118 250 283 284
120 251 280 285
117 249 281 287
120 211 220 278
118 210 221 276
119 208 223 277
117 209 222 279
106 131 256 275
105 130 259 272
107 132 257 274
108 133 258 273
98 133 244 307
97 132 247 304
99 130 245 306
100 131 246 305
90 135 228 235
89 134 231 232
91 134 230 233
92 135 229 234
101 260 298 362
102 263 297 361
103 262 299 360
104 261 296 363
85 224 303 363
86 225 301 362
87 226 302 361
88 227 300 360
81 214 314 356
82 212 315 358
83 215 312 357
84 213 313 359
93 318 322 352
94 319 320 353
