0 1 2 3 4 5 6 7 8 9
0 10 11 12 13 14 15 16 17 18
0 20 21 30 31 32 33 34 35 36
0 19 22 23 24 25 26 27 28 29
1 37 38 39 40 41 42 43 44 45
1 71 72 81 82 83 84 85 86 87
1 70 73 74 75 76 77 78 79 80
3 54 153 172 173 174 175 233 252 253
2 55 152 168 169 170 171 232 250 251
8 68 166 224 226 228 230 246 248 278
9 69 167 225 227 229 231 247 249 279
3 56 159 202 203 208 209 239 256 257
2 59 154 200 201 216 217 238 254 255
9 65 165 195 199 215 223 237 265 277
8 64 164 194 198 214 222 236 264 276
7 67 158 183 187 192 197 235 270 274
6 66 157 182 186 193 196 234 271 275
6 63 163 179 191 213 221 240 263 272
7 62 162 178 190 212 220 241 262 273
5 61 156 176 184 207 219 245 261 268
4 60 155 177 185 206 218 244 260 269
4 58 161 180 188 205 211 243 259 266
5 57 160 181 189 204 210 242 258 267
4 47 89 91 105 107 108 110 139 140
5 46 88 90 104 106 109 111 138 141
7 53 100 103 129 131 133 135 137 150
6 52 101 102 128 130 132 134 136 151
3 48 94 95 122 123 126 127 148 149
2 49 92 93 120 121 124 125 146 147
9 51 97 99 113 115 117 119 143 145
8 50 96 98 112 114 116 118 142 144
10 37 46 47 48 49 50 51 52 53
10 70 152 159 160 161 162 163 164 165
10 71 153 154 155 156 157 158 166 167
12 38 136 142 235 237 254 256 259 261
11 39 137 143 234 236 255 257 258 260
18 45 147 149 243 245 249 273 275 276
17 44 146 148 242 244 248 272 274 277
13 41 140 141 232 233 264 265 270 271
14 40 138 139 238 239 262 263 278 279
16 43 144 151 241 247 251 253 267 269
15 42 145 150 240 246 250 252 266 268
14 54 73 93 114 115 180 181 182 183
13 56 72 92 112 113 176 177 178 179
16 67 80 99 105 126 217 219 221 222
15 66 79 98 104 127 216 218 220 223
13 59 76 94 130 131 210 211 224 225
14 55 81 95 128 129 206 207 214 215
12 69 78 103 111 125 175 185 191 194
11 68 77 102 110 124 174 184 190 195
11 63 87 96 109 123 171 197 205 231
12 62 86 97 108 122 170 196 204 230
17 61 75 91 118 135 169 193 209 229
18 60 74 90 119 134 168 192 208 228
18 57 84 89 116 133 172 199 201 213
17 58 85 88 117 132 173 198 200 212
15 64 83 101 107 121 187 189 203 227
16 65 82 100 106 120 186 188 202 226
19 37 54 59 60 61 62 63 64 65
20 37 55 56 57 58 66 67 68 69
20 71 90 91 93 94 236 237 240 241
20 70 96 97 100 101 233 238 244 245
19 71 98 99 102 103 232 239 242 243
19 70 88 89 92 95 234 235 246 247
21 41 95 118 119 154 188 189 190 191
29 43 97 104 124 158 209 211 213 214
28 42 96 105 125 157 208 210 212 215
22 40 94 116 117 152 184 185 186 187
25 41 93 132 133 159 218 219 230 231
30 40 92 134 135 153 204 205 222 223
36 39 98 108 120 163 173 192 207 225
35 38 99 109 121 162 172 193 206 224
34 44 89 115 130 156 171 194 202 220
33 45 88 114 131 155 170 195 203 221
32 42 102 106 122 164 177 183 201 229
31 43 103 107 123 165 176 182 200 228
27 38 100 110 127 167 168 179 181 198
26 39 101 111 126 166 169 178 180 199
24 44 90 112 129 161 174 196 217 227
23 45 91 113 128 160 175 197 216 226
21 54 72 104 105 136 137 152 248 249
24 57 75 120 123 136 145 155 262 264
23 58 74 121 122 137 144 156 263 265
25 55 76 106 107 142 143 153 272 273
22 56 73 108 109 150 151 154 276 277
30 59 81 110 111 144 145 159 274 275
34 60 85 124 126 142 150 160 271 279
33 61 84 125 127 143 151 161 270 278
31 62 80 116 128 141 146 167 257 266
32 63 79 117 129 140 147 166 256 267
36 64 77 113 133 138 148 157 251 259
35 65 78 112 132 139 149 158 250 258
29 69 82 114 134 140 148 162 255 268
28 68 83 115 135 141 149 163 254 269
27 67 86 118 130 138 147 165 252 260
26 66 87 119 131 139 146 164 253 261
21 49 76 196 197 198 199 239 268 269
25 48 72 192 193 194 195 238 266 267
26 50 77 200 202 204 206 240 249 270
27 51 78 201 203 205 207 241 248 271
22 49 81 220 221 228 229 233 258 259
30 48 73 212 213 226 227 232 260 261
33 47 74 178 186 214 231 242 252 254
34 46 75 179 187 215 230 243 253 255
35 53 86 180 184 208 216 247 264 272
36 52 87 181 185 209 217 246 265 273
32 50 83 168 175 211 219 234 262 277
31 51 82 169 174 210 218 235 263 276
28 52 79 170 172 176 188 236 274 279
29 53 80 171 173 177 189 237 275 278
23 46 84 182 190 222 225 244 250 256
24 47 85 183 191 223 224 245 251 257
