0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16
0 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32
0 33 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50
0 34 53 54 55 59 60 63 64 67 68 71 72 75 76 79 80
0 35 51 52 56 57 58 61 62 65 66 69 70 73 74 77 78
1 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96
1 157 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174
1 158 176 177 179 183 184 187 188 191 192 195 196 199 200 203 204
1 159 175 178 180 181 182 185 186 189 190 193 194 197 198 201 202
3 112 431 477 478 577 578 579 580 581 582 583 584 933 934 935 936
2 113 430 475 476 569 570 571 572 573 574 575 576 929 930 931 932
13 153 473 559 561 565 897 901 907 911 913 921 923 1091 1095 1097 1101
14 154 474 560 562 566 898 902 908 912 914 922 924 1092 1096 1098 1102
16 156 472 558 564 568 899 903 906 910 916 918 920 1090 1093 1099 1103
15 155 471 557 563 567 900 904 905 909 915 917 919 1089 1094 1100 1104
10 152 470 554 556 866 870 875 879 882 883 886 892 926 1077 1081 1083
9 151 469 553 555 865 869 876 880 881 884 885 891 925 1078 1082 1084
12 150 468 550 551 867 872 874 878 888 889 894 895 928 1079 1085 1088
11 149 467 549 552 868 871 873 877 887 890 893 896 927 1080 1086 1087
3 114 449 494 500 659 660 735 736 751 752 839 840 991 992 1043 1044
3 129 432 483 495 653 654 685 686 745 746 833 834 1017 1018 1033 1034
4 131 447 479 496 747 748 773 774 805 806 835 836 977 978 979 980
4 132 448 481 493 687 688 689 690 775 776 837 838 1005 1006 1035 1036
4 115 433 497 499 729 730 731 732 749 750 807 808 1007 1008 1037 1038
2 130 446 482 498 655 656 733 734 777 778 809 810 989 990 1039 1040
2 116 450 480 484 657 658 691 692 779 780 811 812 1019 1020 1041 1042
15 148 445 492 507 599 684 728 770 771 802 804 864 967 971 1003 1076
16 147 444 491 508 600 683 727 769 772 801 803 863 968 972 1004 1075
14 140 443 516 548 616 644 680 682 726 768 800 832 948 952 1032 1074
13 139 442 515 547 615 643 679 681 725 767 799 831 947 951 1031 1073
14 128 466 490 506 608 678 724 798 828 830 860 862 956 976 1002 1072
13 127 465 489 505 607 677 723 797 827 829 859 861 955 975 1001 1071
15 126 458 514 532 592 651 674 676 721 766 825 858 946 963 1030 1069
16 125 457 513 531 591 652 673 675 722 765 826 857 945 964 1029 1070
12 146 464 523 540 620 631 641 650 710 711 796 855 960 988 1065 1068
11 145 463 524 539 619 632 642 649 709 712 795 856 959 987 1066 1067
10 138 456 510 511 598 605 640 648 764 794 824 853 944 985 1016 1063
9 137 455 509 512 597 606 639 647 763 793 823 854 943 986 1015 1064
9 124 441 530 546 590 613 706 708 762 792 821 852 957 984 1011 1013
10 123 440 529 545 589 614 705 707 761 791 822 851 958 983 1012 1014
11 122 438 522 537 624 635 702 703 742 744 790 850 941 981 1010 1062
12 121 439 521 538 623 636 701 704 741 743 789 849 942 982 1009 1061
8 144 454 504 544 588 604 633 672 700 740 759 787 939 950 999 1060
7 143 453 503 543 587 603 634 671 699 739 760 788 940 949 1000 1059
8 142 437 519 527 596 628 668 669 720 758 786 820 953 974 1028 1057
7 141 436 520 528 595 627 667 670 719 757 785 819 954 973 1027 1058
6 136 461 501 526 594 611 621 666 697 738 818 848 938 962 997 1056
5 135 462 502 525 593 612 622 665 698 737 817 847 937 961 998 1055
5 134 435 488 535 586 617 645 696 718 756 782 784 995 1026 1051 1054
6 133 434 487 536 585 618 646 695 717 755 781 783 996 1025 1052 1053
5 120 460 534 541 602 625 662 664 715 753 816 846 966 969 1024 1050
6 119 459 533 542 601 626 661 663 716 754 815 845 965 970 1023 1049
7 118 452 485 517 610 629 637 694 714 814 841 843 994 1022 1046 1048
8 117 451 486 518 609 630 638 693 713 813 842 844 993 1021 1045 1047
5 99 206 225 230 232 233 239 241 248 254 256 260 261 389 393 398
6 98 205 226 229 231 234 240 242 247 253 255 259 262 388 392 399
8 101 208 222 223 228 235 237 244 246 249 252 258 264 391 394 397
7 100 207 221 224 227 236 238 243 245 250 251 257 263 390 395 396
4 97 209 210 211 212 213 214 215 216 217 218 219 220 385 386 387
3 102 305 306 307 308 345 346 347 348 357 358 359 360 401 408 409
2 103 301 302 303 304 329 330 331 332 373 374 375 376 400 406 407
16 111 275 279 284 287 292 314 316 327 356 369 371 384 417 427 429
15 110 276 280 283 288 291 313 315 328 355 370 372 383 416 426 428
14 109 268 272 290 296 300 310 312 326 342 344 354 382 415 423 425
13 108 267 271 289 295 299 309 311 325 341 343 353 381 414 422 424
9 107 281 285 293 298 322 323 337 339 352 366 368 380 405 418 421
10 106 282 286 294 297 321 324 338 340 351 365 367 379 404 419 420
12 105 266 269 274 277 318 320 334 335 350 361 364 378 403 411 412
11 104 265 270 273 278 317 319 333 336 349 362 363 377 402 410 413
17 81 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111
17 158 430 432 433 434 435 436 437 438 439 440 441 442 443 444 445
17 159 431 446 448 453 454 457 458 459 460 463 464 469 470 473 474
17 157 447 449 450 451 452 455 456 461 462 465 466 467 468 471 472
18 82 385 400 401 937 938 939 940 941 942 943 944 945 946 947 948
30 93 418 422 427 926 1038 1039 1044 1046 1051 1056 1060 1061 1067 1072 1076
29 94 419 423 426 925 1037 1040 1043 1045 1052 1055 1059 1062 1068 1071 1075
