0 1 2 3 4
0 5 6 7 8
0 9 12 13 14
0 11 16 17 20
0 10 15 18 19
1 21 22 23 24
1 38 40 45 48
1 39 42 44 46
1 37 41 43 47
3 29 61 77 83
2 30 62 78 82
3 31 63 79 81
4 32 65 74 75
4 33 64 71 76
4 34 66 72 73
3 35 59 69 70
2 36 58 67 68
2 28 60 80 84
3 26 50 54 57
4 27 49 52 53
2 25 51 55 56
5 85 86 87 88
5 99 103 104 108
5 100 101 106 109
5 98 102 105 107
8 138 141 142 147
6 139 144 145 146
7 137 140 143 148
7 90 113 126 133
8 91 112 127 135
7 92 111 124 136
6 93 114 119 128
6 94 117 118 129
6 95 115 116 130
7 96 120 123 132
8 97 121 122 131
8 89 110 125 134
9 149 152 153 154
11 150 155 156 157
10 151 158 159 160
9 188 189 207 215
9 190 191 208 216
9 192 193 206 217
10 194 198 211 222
10 195 199 210 221
10 196 197 209 223
11 200 201 212 220
11 202 205 213 219
11 203 204 214 218
12 305 314 315 332
14 307 318 319 333
13 306 316 317 334
20 308 325 329 339
15 309 324 327 337
16 310 323 328 338
17 311 322 326 336
18 312 320 321 340
19 313 330 331 335
12 170 251 269 287
12 171 252 270 288
14 173 255 273 291
13 174 254 274 290
13 175 256 271 292
14 172 253 272 289
18 176 258 284 302
18 177 257 283 301
20 178 265 275 300
16 179 266 276 299
19 180 263 281 293
19 181 264 282 294
15 182 262 280 298
20 183 259 278 297
17 184 261 279 295
16 185 260 277 296
17 187 267 286 303
15 186 268 285 304
12 161 224 225 242
13 163 226 227 243
14 162 228 229 244
15 164 232 240 247
20 165 231 241 246
16 166 230 239 248
17 167 233 238 249
19 168 234 235 245
18 169 236 237 250
21 341 342 343 344
21 357 358 359 366
21 360 362 364 368
21 361 363 365 367
23 563 573 578 580
24 561 576 577 579
22 562 574 575 581
24 564 584 595 596
22 565 582 592 593
23 566 583 591 594
23 570 589 598 603
23 572 587 600 607
24 567 588 601 604
24 568 585 602 606
22 569 590 597 605
22 571 586 599 608
53 1303 1317 1324 1357
52 1302 1318 1323 1356
54 1305 1322 1326 1360
55 1306 1319 1328 1359
56 1307 1321 1327 1358
57 1304 1320 1325 1361
49 1308 1311 1312 1362
50 1309 1315 1316 1363
51 1310 1313 1314 1364
70 1239 1260 1287 1332
67 1240 1258 1284 1330
68 1241 1257 1285 1331
69 1242 1259 1286 1329
71 1250 1261 1298 1343
72 1253 1263 1292 1340
73 1252 1264 1289 1341
74 1244 1267 1297 1337
75 1255 1272 1294 1333
76 1246 1262 1299 1345
77 1256 1268 1291 1344
78 1254 1270 1293 1342
79 1249 1266 1296 1335
80 1245 1273 1300 1339
81 1243 1265 1295 1346
82 1248 1274 1288 1336
83 1247 1271 1290 1338
84 1251 1269 1301 1334
59 1221 1224 1276 1348
58 1222 1223 1275 1347
60 1227 1232 1280 1353
61 1229 1234 1282 1350
62 1228 1236 1283 1351
63 1226 1237 1278 1355
64 1235 1238 1277 1352
65 1225 1230 1281 1354
66 1231 1233 1279 1349
76 508 1064 1154 1208
71 507 1061 1150 1204
72 509 1060 1151 1205
73 510 1059 1152 1206
74 511 1062 1149 1207
75 512 1063 1153 1203
68 513 1074 1166 1216
69 522 1070 1159 1209
70 516 1076 1156 1213
77 521 1067 1163 1214
78 523 1066 1165 1212
79 518 1072 1161 1210
80 519 1069 1157 1217
81 524 1071 1155 1220
82 515 1068 1158 1218
83 517 1065 1160 1215
84 520 1075 1164 1211
67 514 1073 1162 1219
57 544 1116 1170 1188
54 543 1113 1168 1186
55 545 1114 1167 1187
56 546 1115 1169 1185
53 554 1130 1174 1196
53 555 1128 1173 1198
53 556 1125 1175 1195
54 547 1129 1178 1201
54 550 1119 1182 1199
55 558 1117 1172 1202
55 551 1120 1171 1194
56 553 1118 1183 1192
56 552 1126 1184 1189
57 548 1123 1181 1197
57 549 1127 1179 1200
52 557 1122 1180 1193
52 559 1124 1177 1191
52 560 1121 1176 1190
45 526 1082 1100 1136
40 525 1079 1097 1131
41 527 1078 1098 1132
42 528 1077 1099 1133
43 529 1080 1096 1134
44 530 1081 1095 1135
41 538 1085 1109 1139
42 535 1086 1111 1140
43 540 1089 1102 1144
44 539 1087 1101 1145
45 531 1093 1105 1148
46 537 1084 1103 1146
46 541 1094 1108 1137
47 536 1083 1106 1143
47 542 1091 1107 1138
48 532 1088 1110 1142
48 534 1090 1112 1141
40 533 1092 1104 1147
80 480 981 1008 1044
77 481 978 1006 1042
78 482 979 1005 1043
79 483 980 1007 1041
68 488 982 1018 1051
69 496 986 1013 1045
70 486 994 1019 1057
71 492 985 1014 1056
72 495 995 1011 1053
73 497 993 1010 1049
74 485 988 1017 1048
75 487 990 1020 1046
76 493 983 1015 1054
81 484 991 1016 1052
82 490 987 1009 1055
83 489 989 1012 1058
84 494 992 1021 1047
67 491 984 1022 1050
48 500 996 1027 1028
46 498 997 1024 1025
47 499 998 1023 1026
41 505 1001 1029 1036
42 506 1003 1030 1034
43 501 1004 1031 1037
44 502 1002 1038 1039
45 504 1000 1032 1033
40 503 999 1035 1040
63 444 900 918 954
60 445 897 915 953
61 446 898 916 952
62 447 899 917 951
59 449 912 932 959
59 460 909 919 965
60 448 908 924 967
61 461 913 925 957
62 457 911 928 955
63 455 905 921 961
64 458 903 923 962
64 459 901 922 960
65 450 906 927 966
65 451 914 920 963
66 453 907 931 956
66 454 910 930 958
58 452 904 929 968
58 456 902 926 964
51 472 879 882 970
50 471 880 881 969
50 476 893 895 971
50 478 890 894 972
51 473 886 896 973
51 474 883 888 977
49 475 884 889 976
49 477 887 892 975
49 479 885 891 974
41 470 873 934 948
42 467 874 936 947
43 463 876 942 949
44 462 877 940 946
45 468 871 937 943
46 466 878 933 941
47 465 875 935 944
48 464 870 945 950
40 469 872 938 939
39 419 844 848 863
37 417 843 845 862
38 418 846 847 861
38 424 852 856 865
38 425 857 859 864
39 420 854 860 866
39 423 849 855 868
37 421 851 853 869
37 422 850 858 867
84 426 792 810 828
81 427 789 807 827
82 428 790 808 826
83 429 791 809 825
68 437 801 813 842
69 431 805 817 833
70 442 793 819 835
71 439 797 811 837
72 443 800 815 831
73 441 802 818 832
74 434 795 823 834
75 432 796 821 839
76 438 799 814 836
77 435 806 822 829
78 436 798 820 830
79 430 803 824 838
80 440 794 816 841
67 433 804 812 840
38 405 782 783 788
39 407 781 784 785
37 406 780 786 787
66 408 755 766 767
64 409 753 763 764
65 410 754 762 765
59 414 759 769 778
60 413 757 768 772
61 411 760 774 779
62 412 758 775 777
63 415 761 770 771
58 416 756 773 776
31 654 693 711 729
28 655 690 710 726
29 656 691 709 727
30 657 692 708 728
29 671 699 715 739
30 668 700 714 736
31 662 696 722 734
32 660 698 719 735
32 661 694 716 738
33 667 706 723 733
33 669 705 720 731
34 664 702 712 742
34 665 703 713 740
35 658 704 721 737
35 670 695 718 743
36 666 701 724 732
36 663 697 717 730
28 659 707 725 741
34 645 676 677 746
32 646 672 673 745
33 647 674 675 744
29 649 681 689 750
30 648 684 687 749
31 651 678 686 751
35 653 680 688 748
36 650 682 685 747
28 652 679 683 752
26 609 620 621 637
25 610 618 619 636
26 611 628 634 640
26 612 627 631 643
27 614 625 630 644
27 616 623 633 639
27 617 622 632 641
25 613 626 635 642
25 615 624 629 638
36 348 380 381 397
35 349 378 379 396
29 353 387 392 399
30 356 385 391 400
31 351 384 394 403
32 355 383 386 404
33 350 393 395 401
34 352 389 390 398
28 354 382 388 402
27 345 369 370 375
26 346 373 374 376
25 347 371 372 377
85 341 345 346 347
85 405 408 411 412
85 406 410 414 416
85 407 409 413 415
146 342 1356 1358 1363
147 344 1357 1360 1364
148 343 1359 1361 1362
87 561 1303 1306 1309
88 563 1305 1307 1308
86 562 1302 1304 1310
88 645 872 1067 1068
86 648 870 1060 1065
87 649 871 1059 1066
87 651 878 1064 1075
87 653 873 1063 1073
88 647 877 1069 1071
88 646 875 1070 1074
86 650 876 1062 1076
86 652 874 1061 1072
148 744 781 1210 1211
147 747 780 1203 1209
147 749 782 1206 1214
147 752 785 1208 1220
148 746 788 1212 1215
148 745 786 1213 1219
146 748 787 1207 1216
146 750 783 1205 1218
146 751 784 1204 1217
130 357 972 1192 1193
128 360 969 1189 1190
129 361 971 1185 1191
131 365 970 1196 1199
132 363 974 1187 1200
133 358 975 1197 1202
134 359 973 1198 1201
135 362 977 1186 1195
136 364 976 1188 1194
108 367 636 640 644
109 366 638 639 643
107 368 637 641 642
100 861 957 958 1351
