0 1 2 3 4 5 6 7 8
0 9 10 11 12 13 14 15 16
0 18 22 25 26 30 31 36 38
0 19 21 23 24 27 33 35 37
0 17 20 28 29 32 34 39 40
1 41 42 43 44 45 46 47 48
1 78 82 84 86 87 89 97 99
1 79 81 83 85 91 92 94 96
1 77 80 88 90 93 95 98 100
2 56 153 171 189 207 225 261 279
2 58 155 172 190 208 226 263 281
2 57 154 173 191 209 227 262 280
5 59 168 184 193 214 238 277 291
3 60 165 177 194 220 241 271 294
4 61 156 174 192 212 228 264 284
5 67 164 185 203 219 242 267 282
6 68 167 186 206 216 239 268 283
7 69 157 182 205 213 229 274 293
4 70 163 178 204 221 235 275 292
7 71 170 179 201 222 237 265 285
3 72 158 187 202 218 230 278 290
6 73 161 176 200 211 234 273 295
3 62 162 183 195 215 233 266 286
7 63 166 175 196 210 240 276 289
4 64 169 188 197 217 236 272 296
5 66 159 180 199 224 232 270 288
6 65 160 181 198 223 231 269 287
8 75 152 243 245 251 254 257 258
8 76 151 244 246 249 250 252 260
8 74 150 247 248 253 255 256 259
8 49 137 138 139 140 141 142 143
2 50 101 102 103 119 120 121 144
3 51 104 110 115 124 132 135 149
4 52 108 112 116 126 130 136 145
5 53 105 111 117 125 127 133 148
6 54 106 114 118 122 128 134 147
7 55 107 109 113 123 129 131 146
9 41 49 50 51 52 53 54 55
9 77 150 153 156 157 158 159 160
9 78 151 155 162 166 167 168 169
9 79 152 154 161 163 164 165 170
10 42 137 144 145 146 147 148 149
12 44 139 261 267 268 284 285 286
11 43 138 264 265 266 279 282 283
13 47 141 271 272 274 281 288 295
14 45 142 262 269 277 289 290 292
15 48 143 263 270 273 293 294 296
16 46 140 275 276 278 280 287 291
16 56 86 107 125 176 194 212 246
13 59 83 104 122 171 192 210 243
14 60 84 105 123 174 189 211 244
15 61 85 106 124 175 193 207 245
12 70 87 118 135 182 199 209 260
12 72 91 111 129 188 190 223 257
12 63 88 101 130 177 200 214 256
13 57 95 109 133 186 195 221 259
13 65 89 112 119 185 201 218 250
14 69 92 102 136 183 206 224 254
14 64 98 114 132 179 203 208 248
15 71 99 103 126 187 198 219 249
15 62 93 117 131 178 191 216 253
16 67 90 110 128 172 197 222 247
16 68 94 116 120 180 205 215 258
11 73 100 108 121 184 196 220 255
11 58 96 113 127 181 202 217 251
11 66 97 115 134 173 204 213 252
10 74 80 225 228 229 230 231 232
10 75 81 227 234 235 237 241 242
