0 1 2 3 4 5
0 6 7 8 9 10
0 12 16 19 22 30
0 13 25 26 27 28
0 14 15 18 21 23
0 11 17 20 24 29
1 31 32 33 34 35
1 56 57 70 71 72
1 58 62 65 67 75
1 59 61 64 69 73
1 60 63 66 68 74
2 40 92 108 124 140
2 42 95 110 125 141
2 43 93 109 127 143
2 41 94 111 126 142
4 45 96 113 128 155
3 46 105 116 133 146
4 47 106 117 132 147
3 48 101 118 138 151
5 49 100 119 137 150
4 50 99 115 130 149
5 51 98 114 131 148
4 52 103 120 136 153
3 53 102 122 134 152
5 54 104 121 135 154
3 55 107 123 139 145
5 44 97 112 129 144
2 36 76 77 78 79
4 38 80 84 85 89
3 39 83 87 88 91
5 37 81 82 86 90
6 156 157 158 159 160
6 178 182 185 189 194
6 179 183 187 192 195
6 180 184 186 190 196
6 177 181 188 191 193
10 262 263 270 271 277
7 261 264 269 272 278
8 265 267 274 275 280
9 266 268 273 276 279
10 162 200 225 241 259
10 163 199 227 243 260
7 164 198 226 242 257
8 165 209 220 229 248
9 166 210 217 232 245
8 167 212 219 231 247
9 168 211 218 230 246
10 169 206 214 234 252
10 170 205 216 233 249
7 171 208 215 235 251
7 172 207 213 236 250
8 173 202 221 240 254
9 174 201 224 238 253
8 175 204 222 237 256
9 176 203 223 239 255
7 161 197 228 244 258
14 282 289 290 295 299
11 283 287 291 297 298
12 284 288 292 296 300
13 281 285 286 293 294
11 366 392 412 424 440
12 367 393 410 423 441
12 368 390 397 427 442
14 369 389 398 428 443
11 370 388 399 426 444
11 371 395 401 414 434
14 372 396 402 415 435
12 373 394 400 413 433
13 374 387 406 419 431
13 375 386 404 420 432
13 376 385 405 421 429
13 377 384 403 422 430
11 378 381 409 416 438
14 379 383 407 418 436
12 380 382 408 417 437
14 365 391 411 425 439
30 702 724 743 758 775
15 703 723 742 759 777
16 704 728 734 749 779
17 705 727 733 751 780
18 706 726 735 750 778
19 707 719 738 756 774
20 708 718 737 755 772
21 709 717 736 757 773
22 710 721 740 754 770
23 711 720 739 752 769
24 712 722 741 753 771
25 713 732 746 762 766
26 714 730 745 764 767
27 715 729 748 763 768
28 716 731 747 761 765
29 701 725 744 760 776
20 318 586 604 607 667
19 319 588 602 605 666
29 320 575 599 619 660
30 321 574 600 620 661
15 322 573 601 618 662
23 323 585 589 615 665
24 324 584 590 617 664
22 325 583 591 616 663
25 326 581 595 613 655
27 327 579 597 614 654
28 328 582 598 611 656
26 329 580 596 612 653
16 330 576 594 608 659
17 331 578 592 610 657
18 332 577 593 609 658
21 317 587 603 606 668
20 350 510 555 632 700
21 351 511 556 631 699
23 352 523 549 622 690
22 353 524 547 623 689
24 354 522 548 621 691
30 355 519 541 636 697
15 356 521 542 635 696
29 357 520 543 634 695
26 358 518 550 629 687
25 359 515 553 630 686
28 360 517 552 627 688
27 361 516 551 628 685
17 362 514 546 624 694
18 363 512 544 626 692
16 364 513 545 625 693
19 349 509 554 633 698
23 334 526 571 648 684
22 335 527 570 647 683
16 336 538 563 637 674
17 337 540 565 639 675
18 338 539 564 638 673
20 339 535 557 652 681
19 340 537 558 651 680
21 341 536 559 650 679
25 342 534 567 643 672
26 343 533 566 644 670
27 344 531 569 646 671
28 345 532 568 645 669
30 346 528 560 642 676
15 347 530 562 640 678
29 348 529 561 641 677
24 333 525 572 649 682
22 302 446 472 488 508
23 303 447 471 489 507
19 304 459 466 479 499
21 305 460 465 478 498
20 306 458 464 477 497
18 307 455 461 482 500
17 308 457 462 481 501
16 309 456 463 480 502
26 310 448 470 486 494
28 311 451 467 484 493
27 312 449 468 483 495
25 313 450 469 485 496
15 314 453 476 490 504
29 315 452 475 492 503
30 316 454 474 491 505
24 301 445 473 487 506
31 781 782 783 784 785
31 807 813 816 818 823
31 808 812 815 821 825
31 809 810 814 819 822
31 806 811 817 820 824
35 1327 1348 1349 1351 1352
32 1328 1354 1355 1358 1361
33 1329 1356 1357 1359 1360
34 1326 1346 1347 1350 1353
32 1331 1362 1383 1405 1422
32 1332 1364 1385 1402 1425
33 1333 1363 1382 1404 1423
35 1334 1377 1387 1401 1411
34 1335 1374 1388 1398 1413
34 1336 1376 1389 1400 1410
35 1337 1375 1386 1399 1412
33 1338 1369 1379 1407 1419
32 1339 1368 1381 1408 1418
33 1340 1366 1380 1409 1421
32 1341 1367 1378 1406 1420
35 1342 1373 1392 1396 1416
35 1343 1370 1391 1397 1415
34 1344 1372 1390 1394 1417
34 1345 1371 1393 1395 1414
33 1330 1365 1384 1403 1424
79 3763 3780 3796 3812 3891
76 3764 3781 3797 3813 3893
77 3765 3778 3794 3810 3890
78 3762 3779 3795 3811 3892
91 3766 3783 3803 3822 3904
80 3767 3784 3802 3821 3905
81 3768 3782 3801 3820 3903
82 3769 3785 3809 3824 3897
83 3770 3786 3808 3825 3899
84 3771 3787 3807 3823 3898
