0 1 2 3 4 5 6 7
0 8 9 10 11 12 13 14
0 16 25 26 35 50 57 58
0 17 23 32 40 47 64 65
0 18 24 37 39 56 61 68
0 19 38 41 45 49 59 62
0 20 28 29 30 36 52 55
0 21 33 34 42 48 53 70
0 22 43 51 60 63 66 67
0 15 27 31 44 46 54 69
1 71 72 73 74 75 76 77
1 133 150 152 158 163 182 183
1 134 151 154 159 160 178 181
1 135 153 155 161 162 179 180
1 136 144 164 165 167 185 186
1 137 145 166 168 169 184 187
1 132 140 146 156 170 171 172
1 138 141 147 148 157 173 174
1 139 142 143 149 175 176 177
4 98 262 302 303 362 371 373
4 99 260 300 301 363 365 375
6 97 261 306 309 367 370 374
2 96 263 304 307 364 368 372
2 100 259 305 308 366 369 376
4 129 269 289 338 431 434 494
5 131 267 288 341 435 438 491
6 127 268 291 342 430 437 493
7 128 271 287 339 436 439 495
7 130 270 290 340 432 433 492
4 84 257 277 292 293 440 441
4 85 258 278 279 343 442 507
3 125 264 276 422 426 428 488
7 124 266 274 421 424 429 489
2 126 265 275 423 425 427 490
5 86 239 498 499 501 502 508
4 122 255 417 420 484 485 496
6 123 256 418 419 486 487 497
2 87 240 294 344 345 346 503
4 88 241 295 347 348 349 350
3 121 253 334 335 416 483 506
6 120 254 336 337 415 482 505
3 118 251 328 330 409 414 480
6 119 252 331 333 412 413 479
2 117 250 329 332 410 411 481
3 115 249 285 404 405 408 478
3 116 248 286 403 406 407 477
7 89 242 280 296 351 443 509
7 113 246 284 325 401 474 475
2 112 245 283 326 400 471 472
2 114 247 282 327 402 473 476
7 90 243 272 352 353 444 445
7 91 244 273 297 446 447 510
5 92 228 298 354 355 448 504
3 110 237 320 385 389 390 467
5 108 236 324 387 395 397 469
5 109 238 322 388 392 399 468
5 111 235 321 386 391 398 466
7 107 234 323 393 394 396 470
3 104 231 313 316 381 461 465
4 106 230 317 319 384 460 462
5 105 232 314 318 383 459 464
6 103 233 312 315 382 458 463
