0 1 2 3 4 5
0 6 7 8 9 10
0 12 21 24 26 30
0 11 15 16 17 18
0 13 19 22 25 27
0 14 20 23 28 29
1 31 32 33 34 35
1 57 67 71 73 75
1 56 60 61 62 63
1 58 64 65 69 70
1 59 66 68 72 74
2 40 92 108 124 140
2 42 93 111 125 141
2 43 94 110 127 142
2 41 95 109 126 143
5 44 98 112 129 146
3 45 96 113 130 144
4 46 97 114 128 145
3 54 104 115 137 150
4 55 102 122 136 154
5 52 106 121 138 151
5 53 105 123 134 152
3 50 107 120 135 155
4 51 103 116 139 153
3 47 99 119 132 148
4 48 100 118 131 149
5 49 101 117 133 147
2 36 76 77 84 85
4 37 79 83 89 91
3 38 80 82 86 90
5 39 78 81 87 88
6 31 36 37 38 39
6 56 92 96 97 98
6 57 95 100 104 106
6 58 93 99 102 105
6 59 94 101 103 107
8 35 77 82 87 89
9 33 78 83 84 86
10 32 76 80 88 91
7 34 79 81 85 90
10 40 63 114 130 146
7 44 60 108 128 144
8 45 61 112 124 145
9 46 62 113 129 140
8 43 68 116 135 147
8 41 73 118 137 151
8 47 70 123 125 154
9 55 69 119 134 141
9 52 67 109 131 150
9 49 74 110 139 155
10 42 64 122 132 152
10 54 75 121 126 149
10 50 72 117 127 153
7 53 65 111 136 148
7 51 66 120 133 142
7 48 71 115 138 143
11 31 40 47 48 49
12 31 41 44 50 55
13 31 42 45 51 52
14 31 43 46 53 54
12 64 78 92 115 116
14 74 82 106 108 122
13 75 83 107 108 123
12 61 79 99 110 121
12 67 82 101 111 114
12 66 76 100 113 123
11 69 77 97 120 121
11 60 80 105 109 116
11 72 83 104 111 112
11 73 81 94 113 122
13 62 77 102 115 117
14 63 78 93 118 120
13 68 81 95 114 119
14 70 79 96 109 117
14 71 76 103 112 119
13 65 80 98 110 118
18 35 92 119 133 149
15 32 99 108 131 147
16 33 100 117 124 148
17 34 101 118 132 140
19 35 93 113 138 153
22 34 106 116 130 141
23 32 94 115 134 145
24 34 102 112 126 155
29 34 97 123 127 150
30 35 107 109 136 146
28 33 105 114 137 142
27 33 103 121 125 144
26 33 98 122 135 143
25 32 96 111 139 151
20 35 104 110 128 152
21 32 95 120 129 154
19 40 57 79 134 135
30 54 58 81 124 139
29 55 59 80 124 138
16 51 56 82 126 134
17 52 58 76 128 135
18 42 59 79 129 137
22 49 56 76 136 137
23 41 58 83 130 133
24 46 57 80 125 133
15 45 57 78 127 136
28 44 57 77 132 139
27 48 58 82 127 129
26 53 59 77 130 131
25 47 59 78 126 128
21 43 56 83 132 138
20 50 56 81 125 131
21 40 65 87 103 150
20 40 66 86 102 151
28 52 72 90 92 154
27 53 73 91 92 155
26 51 70 88 104 140
25 50 71 89 105 140
16 44 68 91 93 150
16 46 64 85 107 151
17 55 75 87 96 142
17 53 61 86 95 153
18 43 67 88 102 144
18 50 65 84 106 145
19 41 74 88 97 148
19 54 60 84 101 154
22 44 70 86 94 149
22 46 72 87 99 143
23 42 60 87 100 155
23 47 67 85 98 153
24 52 63 89 94 148
24 48 68 84 96 152
15 41 62 90 103 152
15 54 66 89 98 141
30 42 71 86 97 147
29 51 73 84 99 146
30 47 62 91 106 142
29 49 64 89 95 144
27 55 63 85 104 147
28 48 61 88 107 141
25 43 69 90 100 146
26 49 75 90 93 145
20 45 69 91 101 143
21 45 74 85 105 149
24 39 69 108 137 153
22 37 67 120 124 152
23 38 68 121 136 140
16 39 71 110 130 154
17 37 74 115 125 146
18 38 63 123 139 143
19 38 64 112 131 142
15 36 70 114 138 155
29 39 62 111 135 149
30 36 72 118 134 144
28 37 65 113 126 147
27 39 66 109 132 145
26 37 60 119 127 151
25 36 61 122 133 150
21 38 73 117 128 141
20 36 75 116 129 148
