0 1 2 3 4 5 6 7
0 8 9 10 11 12 13 14
0 16 31 33 40 48 50 56
0 15 21 22 23 24 25 26
0 19 27 32 37 41 45 51
0 20 28 35 38 43 49 53
0 17 30 36 39 46 52 54
0 18 29 34 42 44 47 55
1 57 58 59 60 61 62 63
1 107 123 131 133 139 143 147
1 106 112 113 114 115 116 117
1 110 118 121 124 128 136 140
1 111 119 125 132 134 137 144
1 108 122 127 129 138 142 145
1 109 120 126 130 135 141 146
2 70 184 220 256 292 328 364
2 72 186 223 258 296 332 366
2 73 185 225 257 293 330 369
2 74 188 221 260 295 329 368
2 75 189 222 261 294 333 367
2 71 187 224 259 297 331 365
7 76 194 227 265 302 335 373
3 77 190 229 266 300 336 370
4 78 191 230 264 298 337 371
5 79 192 226 263 301 334 374
6 80 193 228 262 299 338 372
7 104 210 231 276 316 344 392
3 105 200 250 277 320 356 388
6 102 214 254 278 317 360 380
5 103 211 251 279 310 352 396
3 100 208 238 288 318 348 389
7 101 204 252 280 322 345 387
7 98 205 244 289 321 350 381
3 99 202 232 281 324 353 385
4 94 209 253 274 325 361 386
5 95 206 255 284 308 357 384
6 96 207 248 267 311 349 393
4 97 203 245 286 319 351 397
3 92 218 246 275 314 354 394
7 93 212 242 287 326 358 382
5 90 216 249 282 313 362 383
6 91 213 240 290 309 355 398
4 86 219 239 283 312 359 399
6 87 217 247 285 315 346 390
5 88 215 241 268 327 347 391
4 89 201 243 291 323 363 395
4 81 195 233 273 305 342 377
7 82 196 237 269 306 341 378
3 83 197 235 272 307 339 376
5 84 198 236 270 303 340 379
6 85 199 234 271 304 343 375
2 64 148 149 150 166 167 168
7 65 157 159 165 169 175 179
4 66 151 152 154 172 176 182
6 67 158 160 162 170 173 183
5 68 155 161 164 171 177 180
3 69 153 156 163 174 178 181
8 57 64 65 66 67 68 69
8 106 184 190 191 192 193 194
8 107 189 196 207 209 211 218
8 110 185 197 203 206 212 214
8 111 186 198 201 208 210 217
8 108 187 195 202 205 213 216
8 109 188 199 200 204 215 219
10 63 150 152 157 174 180 183
11 62 155 160 163 166 169 182
12 59 148 151 165 171 173 181
13 58 149 154 159 170 177 178
14 60 156 162 164 167 172 179
9 61 153 158 161 168 175 176
14 70 117 230 266 302 338 374
9 76 112 220 262 298 334 370
10 77 113 226 256 299 335 371
11 78 114 227 263 292 336 372
12 79 115 228 264 300 328 373
13 80 116 229 265 301 337 364
10 103 143 248 274 314 333 378
10 91 122 232 289 313 342 365
10 87 137 238 276 303 363 366
10 88 120 234 283 320 329 387
10 83 136 255 257 317 358 397
11 71 127 233 281 321 355 383
11 72 144 243 288 316 346 379
11 101 146 221 271 312 347 388
11 97 140 242 284 293 339 380
11 82 139 222 267 325 352 394
12 100 132 236 258 315 344 395
12 99 142 249 259 309 350 377
12 96 123 246 269 310 361 367
12 95 124 254 286 307 330 382
12 85 135 250 280 327 359 368
13 105 130 241 260 304 345 399
13 102 118 235 287 308 351 369
13 92 147 251 261 311 341 386
13 90 129 240 273 324 331 381
13 84 134 247 291 318 332 392
14 73 128 245 272 326 360 384
14 104 125 223 285 323 340 389
14 98 138 224 290 305 362 385
14 94 133 237 279 294 354 393
14 86 126 252 268 295 356 375
9 74 141 239 277 322 343 391
9 75 131 253 275 306 349 396
9 93 121 225 278 319 357 376
9 89 119 231 270 296 348 390
9 81 145 244 282 297 353 398
15 57 70 81 82 83 84 85
16 57 75 78 87 95 98 105
19 57 73 77 89 90 96 101
20 57 72 80 86 93 99 103
17 57 71 76 88 94 100 102
18 57 74 79 91 92 97 104
16 118 151 184 231 232 267 268
20 146 164 218 220 254 289 291
19 147 165 219 220 255 288 290
18 144 162 216 250 253 256 287
17 145 163 217 251 252 256 286
16 127 162 198 239 246 257 265
16 112 155 197 223 240 274 280
16 132 157 195 221 251 266 278
16 133 153 199 226 242 259 291
