0 1 2 3 4 5 6 7 8 9
0 10 11 12 13 14 15 16 17 18
0 19 27 28 29 30 31 32 33 34
0 20 38 59 60 65 66 69 76 79
0 21 36 43 51 55 61 70 80 83
0 22 40 49 53 56 62 71 84 89
0 23 35 41 45 63 72 77 81 85
0 24 37 42 46 50 57 73 78 90
0 25 39 47 54 64 67 74 86 87
0 26 44 48 52 58 68 75 82 88
1 91 92 93 94 95 96 97 98 99
1 172 180 181 182 183 184 185 186 187
1 173 191 194 215 216 221 222 232 235
1 174 188 195 199 207 211 217 226 236
1 175 197 209 212 218 223 227 237 240
1 176 189 192 201 203 208 213 228 238
1 177 190 196 200 204 219 229 233 242
1 178 198 205 214 224 230 234 239 243
1 179 193 202 206 210 220 225 231 241
4 108 310 374 442 443 568 569 698 699
2 109 308 372 438 439 565 566 694 695
9 170 370 435 437 563 688 690 817 818
8 171 371 434 436 562 689 691 816 819
3 110 309 373 440 441 564 567 696 697
7 168 368 433 559 560 685 686 693 814
6 169 369 432 558 561 684 687 692 815
3 111 340 427 477 551 623 639 777 803
3 164 347 408 502 538 600 624 722 784
3 141 354 387 458 478 573 655 746 790
3 142 322 391 484 503 672 676 764 785
3 135 355 430 485 508 616 632 710 736
3 136 311 420 509 534 583 662 712 747
3 113 348 389 450 496 625 680 740 791
4 165 349 421 474 540 584 626 706 741
4 160 350 402 444 460 585 646 737 792
4 150 335 378 486 541 580 673 702 728
4 147 341 393 510 552 647 663 720 802
4 143 320 380 487 511 596 604 758 810
4 127 360 404 479 497 581 681 759 765
4 122 312 422 522 539 605 640 766 793
5 112 364 418 504 523 641 665 716 794
5 166 365 383 466 488 652 664 713 795
5 157 325 409 464 505 633 682 796 804
5 144 342 398 462 489 617 627 786 808
5 128 343 423 445 451 634 668 723 742
5 125 336 381 542 553 575 606 748 787
5 123 337 405 498 535 607 618 704 749
5 114 313 394 480 482 594 601 729 730
2 121 366 410 448 543 578 591 767 797
2 161 331 385 483 512 608 674 724 809
2 145 357 392 467 513 669 683 743 778
2 137 351 424 454 528 577 642 732 811
2 133 361 406 468 481 572 648 750 768
2 129 338 419 499 529 597 656 700 717
2 115 327 425 524 554 586 657 751 798
8 120 328 411 472 530 619 670 769 812
9 167 358 412 469 536 593 620 770 779
9 162 344 407 446 459 628 658 733 799
8 163 314 416 514 531 587 609 752 780
8 158 333 384 452 544 610 677 734 771
9 151 318 386 453 555 602 671 718 721
8 152 321 396 490 532 570 576 725 744
9 153 359 375 491 506 588 611 735 805
8 154 334 428 461 545 598 653 726 781
9 146 323 395 449 492 654 659 708 782
8 138 352 377 493 507 589 629 731 806
9 139 315 399 533 546 579 630 772 800
9 116 367 429 515 525 612 621 727 745
8 117 353 413 455 470 622 643 703 753
6 159 339 431 471 516 613 635 707 738
7 155 356 397 447 494 649 666 711 760
7 156 329 417 456 547 574 590 739 761
6 148 345 414 463 475 571 650 714 773
6 149 326 376 537 548 603 667 774 783
6 140 362 379 500 526 595 614 705 775
7 134 316 388 517 549 636 644 709 754
7 131 363 400 476 527 660 678 755 788
7 132 332 390 465 556 599 637 776 807
7 130 346 382 495 518 582 592 715 813
6 126 319 403 473 519 651 679 756 789
6 124 317 401 457 520 638 675 757 801
6 118 330 426 521 557 631 645 719 762
7 119 324 415 501 550 615 661 701 763
5 100 244 245 246 247 276 277 278 279
3 105 251 253 271 275 286 298 301 307
4 106 255 258 262 268 280 287 293 302
2 107 248 256 259 266 288 289 294 303
9 101 249 257 260 267 290 291 295 299
8 103 254 261 264 269 281 292 296 300
7 102 250 252 270 272 284 297 304 305
6 104 263 265 273 274 282 283 285 306
10 91 100 101 102 103 104 105 106 107
10 173 308 311 312 313 314 315 316 317
10 174 309 326 335 344 353 356 361 364
10 175 319 331 333 336 341 347 367 368
10 172 321 324 338 340 343 345 350 359
10 176 310 323 329 337 352 354 362 366
10 179 318 322 327 334 342 349 363 369
10 178 320 328 332 339 348 357 365 370
10 177 325 330 346 351 355 358 360 371
11 92 248 249 250 251 276 280 281 282
12 97 252 260 266 275 279 285 287 296
13 98 244 255 269 273 288 299 304 307
14 96 245 258 263 264 286 290 294 297
17 94 246 254 268 274 284 291 301 303
18 99 256 267 270 271 277 283 300 302
15 93 253 257 259 272 278 292 293 306
16 95 247 261 262 265 289 295 298 305
14 108 189 377 448 449 573 574 704 705
12 111 180 375 444 445 570 571 700 701
18 167 242 430 436 557 681 682 811 813
17 166 243 431 437 556 680 683 810 812
13 112 188 376 446 447 564 572 702 703
16 165 241 428 554 555 676 678 692 808
15 164 240 429 552 553 677 679 693 809
12 109 216 388 480 531 605 675 747 772
12 170 205 389 516 530 596 652 743 807
12 155 236 406 537 541 622 641 696 733
12 156 201 410 442 500 589 618 708 790
12 142 231 386 462 474 653 684 755 798
12 137 233 382 464 562 581 645 736 770
12 116 223 408 519 544 606 647 724 814
13 152 181 402 501 551 588 597 714 742
13 154 202 421 503 527 586 671 786 815
13 147 212 384 512 525 600 685 756 787
13 143 198 411 513 563 625 637 707 795
13 124 221 394 438 534 630 636 752 766
13 123 213 379 492 547 591 655 698 806
13 118 219 409 454 485 582 620 765 816
14 171 196 404 495 508 593 642 762 804
14 163 191 422 509 549 565 579 729 801
14 159 214 383 467 496 599 688 758 769
14 150 217 413 459 481 567 649 716 783
14 144 206 432 453 476 657 672 741 781
14 128 182 414 491 550 623 656 725 737
14 126 237 381 483 502 612 686 771 802
11 161 197 433 452 542 651 663 727 784
11 162 199 373 455 548 580 665 750 760
11 145 224 390 472 488 604 635 740 817
11 146 208 387 493 526 568 607 739 797
11 136 215 399 482 522 587 638 694 754
11 135 204 412 497 505 631 689 715 732
11 131 193 425 540 558 598 627 721 785
11 119 183 419 460 463 576 668 803 805
18 110 207 407 486 523 603 643 711 768
18 168 218 385 473 510 575 610 722 745
17 169 210 398 484 524 602 660 706 726
17 148 184 423 477 529 611 661 744 792
18 141 192 395 443 535 614 629 761 767
18 139 235 420 457 514 594 640 695 709
17 138 203 374 456 478 578 654 749 775
18 132 234 392 471 511 664 670 791 818
18 129 185 415 451 532 585 650 735 777
17 127 229 434 528 536 592 616 719 796
17 125 209 403 515 559 624 674 720 734
17 122 232 416 439 533 644 662 730 757
18 115 225 400 489 545 626 687 718 764
17 117 195 378 440 494 628 648 774 794
16 120 230 380 450 465 669 690 713 738
15 121 228 417 498 507 569 595 746 782
16 160 186 396 499 506 615 639 723 773
16 158 227 393 538 560 608 621 748 789
16 157 200 426 469 518 577 632 759 819
15 153 187 427 475 490 634 646 717 763
15 151 220 391 461 561 584 617 751 788
16 149 211 418 441 468 658 666 728 753
16 140 238 405 458 543 590 659 699 731
15 133 226 397 470 504 667 673 697 799
15 134 194 372 520 539 601 609 712 800
15 130 190 424 479 521 633 691 710 779
15 113 239 435 466 487 613 619 776 778
