0 1 2 3
0 4 5 6
0 7 22 24
0 8 21 23
0 11 18 19
0 12 15 20
0 14 17 30
0 13 16 29
0 10 26 28
0 9 25 27
1 31 32 33
1 53 67 68
1 52 66 69
1 56 63 64
1 57 60 65
1 59 62 74
1 58 61 75
1 55 71 72
1 54 70 73
2 36 80 96
3 37 84 100
3 40 83 99
3 51 95 97
3 50 94 98
3 49 82 110
3 48 81 111
3 39 93 108
3 38 92 109
2 41 85 101
2 47 89 102
2 46 88 103
2 45 91 106
2 44 90 107
2 43 87 104
2 42 86 105
3 34 78 79
2 35 76 77
4 31 34 35
4 53 86 92
4 52 87 93
4 56 83 85
4 57 80 84
4 59 81 90
4 58 82 91
4 55 89 94
4 54 88 95
6 32 77 79
5 33 76 78
5 37 60 96
6 36 65 100
6 41 63 99
6 46 73 97
6 47 72 98
6 49 61 106
6 48 62 107
6 39 69 104
6 38 68 105
5 40 64 101
5 50 71 102
5 51 70 103
5 45 75 110
5 44 74 111
5 43 66 108
5 42 67 109
7 31 43 49
8 31 42 48
11 31 37 41
12 31 36 40
14 31 39 45
13 31 38 44
10 31 47 51
9 31 46 50
7 53 96 98
8 52 96 97
7 59 99 103
8 58 99 102
14 53 100 102
13 52 100 103
14 59 97 101
13 58 98 101
12 55 107 108
12 54 106 109
11 54 105 110
11 55 104 111
10 57 107 110
9 57 106 111
9 56 105 108
10 56 104 109
10 61 81 96
9 62 82 96
7 65 89 109
8 65 88 108
7 64 95 107
8 64 94 106
7 73 85 111
8 72 85 110
7 71 84 105
8 70 84 104
13 63 89 110
14 63 88 111
13 60 95 104
14 60 94 105
13 71 83 106
14 70 83 107
13 73 80 108
14 72 80 109
12 75 86 97
12 74 87 98
11 67 91 97
11 66 90 98
12 69 81 102
12 68 82 103
11 62 93 102
11 61 92 103
9 75 90 100
10 74 91 100
9 69 92 101
10 68 93 101
10 66 86 99
9 67 87 99
7 75 77 93
8 74 77 92
7 69 78 91
8 68 78 90
12 63 76 84
12 60 79 85
11 65 76 83
11 64 79 80
14 66 77 82
13 67 77 81
14 61 78 87
13 62 78 86
10 73 76 94
9 72 76 95
10 71 79 88
9 70 79 89
15 32 83 96
18 33 85 100
20 33 80 99
28 33 89 97
27 33 88 98
24 33 82 104
23 33 81 105
19 32 84 101
30 32 91 108
29 32 90 109
26 32 95 102
25 32 94 103
22 32 87 110
21 32 86 111
17 33 93 106
16 33 92 107
17 38 55 96
16 39 54 96
18 47 59 108
18 46 58 109
15 50 59 104
15 51 58 105
26 37 59 106
25 37 58 107
27 36 59 110
28 36 58 111
20 46 53 110
20 47 52 111
19 51 53 106
19 50 52 107
28 41 53 108
27 41 52 109
25 40 53 104
26 40 52 105
29 43 57 97
30 42 57 98
22 44 56 97
21 45 56 98
30 44 54 99
29 45 55 99
24 48 54 101
23 49 55 101
22 42 55 100
21 43 54 100
24 38 57 102
23 39 57 103
16 49 56 102
17 48 56 103
18 40 57 77
15 41 57 78
20 37 56 77
19 36 56 78
30 49 52 76
29 48 53 76
24 45 52 79
23 44 53 79
28 50 54 77
27 51 55 77
26 46 55 78
25 47 54 78
22 39 58 76
21 38 59 76
17 43 58 79
16 42 59 79
18 49 70 86
18 48 71 87
18 44 69 94
18 45 68 95
15 49 67 88
15 48 66 89
15 45 73 92
15 44 72 93
29 37 69 88
30 37 68 89
24 37 72 86
23 37 73 87
30 36 71 92
29 36 70 93
24 36 67 94
23 36 66 95
26 43 63 92
25 42 63 93
24 51 63 90
23 50 63 91
28 49 60 90
27 48 60 91
22 47 60 92
21 46 60 93
27 43 68 83
28 42 69 83
24 46 74 83
23 47 75 83
25 49 74 80
26 48 75 80
22 50 68 80
21 51 69 80
19 43 72 81
19 42 73 82
30 46 64 81
29 47 64 82
26 44 65 82
25 45 65 81
22 41 70 81
21 41 71 82
20 43 62 94
20 42 61 95
30 51 62 85
29 50 61 85
28 45 62 84
27 44 61 84
22 40 62 88
21 40 61 89
20 39 71 90
20 38 70 91
19 38 75 88
19 39 74 89
28 38 64 87
27 39 64 86
26 39 67 85
25 38 66 85
16 41 75 94
17 41 74 95
17 40 73 90
16 40 72 91
17 50 65 86
16 51 65 87
17 47 67 84
16 46 66 84
18 34 63 96
15 35 64 100
19 35 60 99
25 35 71 97
26 35 70 98
24 35 61 108
23 35 62 109
20 34 65 101
30 34 75 104
29 34 74 105
27 34 73 102
28 34 72 103
22 34 66 106
21 34 67 107
17 35 69 110
16 35 68 111
