0 1 2 3 4
0 5 6 7 8
0 9 38 39 40
0 14 33 34 35
0 15 24 36 37
0 23 29 61 66
0 22 30 62 65
0 21 32 64 68
0 20 31 63 67
0 19 25 53 59
0 18 26 54 60
0 17 27 55 57
0 16 28 56 58
0 10 46 48 52
0 11 45 47 51
0 13 42 43 50
0 12 41 44 49
1 69 70 71 72
1 121 150 151 152
1 126 145 146 147
1 127 136 148 149
1 135 142 173 178
1 134 141 174 177
1 133 144 176 179
1 132 143 175 180
1 131 138 166 169
1 130 137 165 170
1 129 140 168 171
1 128 139 167 172
1 123 156 161 164
1 122 155 162 163
1 125 154 158 159
1 124 153 157 160
2 76 190 235 236
2 91 206 259 260
2 92 205 257 258
2 104 214 264 277
2 103 213 263 278
2 102 210 266 281
2 101 209 265 282
2 100 216 268 269
2 99 215 267 270
2 98 212 261 272
2 97 211 262 271
2 96 218 280 283
2 95 217 279 284
2 94 208 273 276
2 93 207 274 275
3 77 200 249 250
3 86 195 251 252
4 87 201 237 253
4 88 202 238 254
4 89 203 243 255
3 90 204 248 256
4 118 232 245 323
4 117 231 244 324
3 120 234 247 321
3 119 233 246 322
4 116 228 239 318
4 115 227 240 317
3 114 230 242 319
3 113 229 241 320
4 112 197 310 315
4 111 196 309 316
3 110 199 312 313
3 109 198 311 314
4 106 192 304 305
4 105 191 303 306
3 108 194 302 307
3 107 193 301 308
4 83 224 294 299
4 82 223 293 300
3 85 226 296 297
3 84 225 295 298
4 79 222 285 292
4 78 221 286 291
3 81 220 287 290
3 80 219 288 289
2 75 187 188 189
4 73 182 183 184
3 74 181 185 186
5 69 73 74 75
5 121 203 204 206
5 126 195 202 205
5 127 190 200 201
5 135 199 216 221
5 134 198 215 222
5 133 197 217 234
5 132 196 218 233
5 130 191 212 219
5 131 192 211 220
5 129 193 213 232
5 128 194 214 231
5 123 209 228 229
5 122 210 227 230
5 124 208 223 226
5 125 207 224 225
6 72 184 186 189
7 70 182 185 187
8 71 181 183 188
6 77 136 235 237
6 89 152 256 260
6 92 147 252 254
6 118 168 263 301
6 117 167 264 302
6 113 156 265 318
6 114 155 266 317
6 109 174 267 285
6 110 173 268 286
6 106 166 262 287
6 105 165 261 288
6 95 176 310 321
6 96 175 309 322
6 93 154 294 295
6 94 153 293 296
8 76 148 249 253
8 88 145 251 257
7 86 146 238 258
8 90 150 243 259
7 91 151 248 255
7 87 149 236 250
8 111 180 246 283
8 112 179 247 284
7 104 172 244 307
7 103 171 245 308
8 102 163 240 319
8 101 164 239 320
7 115 162 242 281
7 116 161 241 282
8 100 142 291 313
8 99 141 292 314
7 120 144 279 315
7 119 143 280 316
8 107 140 278 323
8 108 139 277 324
7 97 138 290 305
7 98 137 289 306
8 82 160 276 297
8 83 159 275 298
7 84 158 274 299
7 85 157 273 300
8 80 170 272 303
8 81 169 271 304
7 79 177 270 311
7 78 178 269 312
9 69 87 90 92
14 69 77 88 91
15 69 76 86 89
23 69 84 102 105
22 69 85 101 106
21 69 83 98 114
20 69 82 97 113
19 69 78 95 107
18 69 79 96 108
17 69 80 93 115
16 69 81 94 116
13 69 103 110 112
12 69 104 109 111
10 69 100 118 120
11 69 99 117 119
9 121 181 235 238
9 127 182 251 260
9 126 189 249 255
15 121 184 250 257
14 121 187 252 253
19 129 181 268 315
18 128 181 267 316
17 130 181 266 299
16 131 181 265 300
15 126 185 237 259
14 127 186 243 258
15 127 188 248 254
14 126 183 236 256
19 135 182 247 263
18 134 182 246 264
19 133 189 245 313
18 132 189 244 314
23 130 184 242 275
22 131 184 241 276
21 130 187 240 295
20 131 187 239 296
23 125 185 272 317
22 124 185 271 318
23 122 188 289 294
22 123 188 290 293
20 124 183 282 287
21 125 183 281 288
21 122 186 274 303
20 123 186 273 304
17 125 189 306 319
16 124 189 305 320
16 123 182 262 297
17 122 182 261 298
13 135 186 279 323
12 134 186 280 324
10 135 188 308 310
11 134 188 307 309
13 133 183 269 301
12 132 183 270 302
10 133 185 278 286
11 132 185 277 285
10 129 184 284 312
11 128 184 283 311
13 129 187 291 321
12 128 187 292 322
10 138 194 235 240
11 137 193 235 239
13 139 192 235 242
12 140 191 235 241
9 180 234 281 318
9 179 233 282 317
9 174 216 290 303
9 173 215 289 304
9 172 232 276 295
9 171 231 275 296
9 166 212 291 311
9 165 211 292 312
9 164 230 279 309
9 163 229 280 310
9 157 224 277 301
9 158 223 278 302
23 145 218 301 305
22 145 217 302 306
19 145 225 282 285
18 145 226 281 286
23 136 222 279 297
22 136 221 280 298
19 136 210 304 307
18 136 209 303 308
21 175 195 278 305
20 176 195 277 306
18 160 195 269 317
19 159 195 270 318
20 178 190 298 309
21 177 190 297 310
18 156 190 289 323
19 155 190 290 324
20 158 218 237 313
21 157 217 237 314
16 180 225 237 269
17 179 226 237 270
22 170 214 238 321
23 169 213 238 322
21 168 220 238 283
20 167 219 238 284
22 177 230 243 263
23 178 229 243 264
17 156 216 243 307
16 155 215 243 308
20 163 222 248 263
21 164 221 248 264
16 174 210 248 323
17 173 209 248 324
22 175 224 236 313
23 176 223 236 314
17 160 234 236 285
16 159 233 236 286
15 160 207 245 302
15 159 208 244 301
15 156 227 247 280
15 155 228 246 279
14 162 209 247 309
14 161 210 246 310
14 154 226 245 277
14 153 225 244 278
23 180 205 245 287
22 179 205 244 288
23 174 201 247 273
22 173 201 246 274
21 147 233 245 271
20 147 234 244 272
21 149 215 247 293
20 149 216 246 294
23 172 204 239 268
22 171 204 240 267
21 150 231 241 268
20 150 232 242 267
18 168 212 239 250
19 167 211 240 250
19 166 214 242 253
18 165 213 241 253
16 152 213 240 311
17 152 214 239 312
17 167 206 241 291
16 168 206 242 292
15 178 198 262 303
15 177 199 261 304
15 175 197 282 319
15 176 196 281 320
22 162 198 260 323
23 161 199 260 324
22 154 196 249 269
23 153 197 249 270
19 164 198 258 294
18 163 199 258 293
19 157 196 256 272
18 158 197 256 271
16 148 199 274 309
17 148 198 273 310
17 146 196 278 287
16 146 197 277 288
14 170 192 268 311
14 169 191 267 312
14 168 194 276 299
14 167 193 275 300
23 151 194 265 291
22 151 193 266 292
20 165 194 257 315
21 166 193 257 316
18 151 192 284 295
19 151 191 283 296
16 172 191 257 321
17 171 192 257 322
14 142 222 261 290
14 141 221 262 289
14 144 218 318 319
14 143 217 317 320
21 142 228 260 307
20 141 227 260 308
21 144 208 249 285
20 143 207 249 286
18 142 230 254 273
19 141 229 254 274
18 144 224 259 287
19 143 223 259 288
17 143 202 271 301
16 144 202 272 302
17 141 200 279 293
16 142 200 280 294
15 138 219 268 292
15 137 220 267 291
15 139 213 296 299
15 140 214 295 300
22 139 212 252 315
23 140 211 252 316
20 140 203 266 311
21 139 203 265 312
18 138 203 275 321
19 137 203 276 322
17 138 232 252 283
16 137 231 252 284
10 147 224 270 320
11 147 223 269 319
12 148 228 263 289
13 148 227 264 290
10 149 230 262 324
11 149 229 261 323
10 150 212 300 322
11 150 211 299 321
12 152 220 275 315
13 152 219 276 316
12 146 208 313 317
13 146 207 314 318
10 180 208 256 306
11 179 207 256 305
13 177 209 251 294
12 178 210 251 293
13 175 226 255 272
12 176 225 255 271
10 174 228 258 298
11 173 227 258 297
10 172 220 253 266
11 171 219 253 265
10 170 206 296 316
11 169 206 295 315
12 170 232 250 265
13 169 231 250 266
12 166 204 284 299
13 165 204 283 300
13 163 201 262 307
12 164 201 261 308
10 162 200 264 304
11 161 200 263 303
12 162 216 254 297
13 161 215 254 298
10 160 218 255 288
11 159 217 255 287
12 157 205 286 319
13 158 205 285 320
10 156 222 251 274
11 155 221 251 273
10 154 202 282 314
11 153 202 281 313
12 154 234 259 305
13 153 233 259 306
24 70 195 235 243
33 71 202 250 260
35 70 206 249 254
40 70 201 256 257
68 70 212 294 319
67 70 211 293 320
66 70 225 266 303
65 70 226 265 304
60 70 222 283 302
59 70 221 284 301
58 70 228 276 287
57 70 227 275 288
52 70 234 268 323
51 70 233 267 324
50 70 213 310 313
49 70 214 309 314
36 71 190 252 255
38 71 204 237 258
34 72 200 238 259
39 72 205 248 253
37 72 203 236 251
48 71 216 245 321
47 71 215 244 322
46 72 232 247 269
45 72 231 246 270
