0 1 2 3 4 5 6 7 8
0 9 10 11 12 13 14 15 16
0 18 26 27 29 31 34 43 71
0 19 50 58 59 60 64 68 69
0 20 35 38 39 40 51 63 70
0 21 25 32 42 45 49 54 72
0 22 33 41 44 48 52 53 61
0 23 30 36 37 55 56 57 67
0 17 24 28 46 47 62 65 66
1 73 74 75 76 77 78 79 80
1 138 151 153 163 168 178 183 184
1 139 152 154 161 166 179 181 182
1 140 147 150 162 165 176 180 186
1 141 148 149 164 167 175 177 185
1 137 144 145 146 171 172 173 174
1 143 155 159 160 169 187 189 190
1 142 156 157 158 170 188 191 192
4 112 276 386 387 491 492 545 546
2 88 265 329 330 331 456 542 551
3 89 266 332 333 334 335 552 553
3 90 267 336 337 338 339 340 554
4 91 268 296 341 342 555 556 573
7 136 290 328 452 455 541 570 572
8 135 289 327 453 454 540 569 571
4 134 287 326 450 451 536 537 550
8 133 288 325 448 449 538 539 549
8 92 269 297 343 344 345 457 557
8 93 270 298 346 347 348 349 574
6 128 282 323 430 435 438 447 531
6 131 283 320 429 439 441 446 533
7 129 284 322 428 437 440 444 534
8 132 285 324 431 434 436 443 532
2 130 286 321 432 433 442 445 535
6 94 271 299 300 350 558 575 576
7 95 272 301 302 351 352 458 577
4 125 279 315 317 424 426 525 530
7 126 280 316 319 423 427 527 529
2 127 281 314 318 422 425 526 528
7 96 273 303 304 305 459 460 578
7 97 274 293 353 354 461 462 559
5 98 275 294 306 355 463 464 465
6 123 278 292 418 421 520 521 523
7 124 277 291 419 420 519 522 524
5 99 251 356 357 358 560 561 579
8 122 264 412 413 417 515 516 547
2 121 263 414 415 416 517 518 548
6 100 252 359 360 361 362 466 562
5 101 253 363 364 365 366 367 580
4 120 262 402 403 405 408 411 513
5 119 261 404 406 407 409 410 514
2 102 254 307 467 468 543 563 581
5 103 255 308 368 469 470 564 565
6 104 256 309 369 370 371 471 582
5 118 259 312 396 399 400 509 512
2 117 260 313 397 398 401 510 511
4 105 257 310 311 372 472 473 474
6 106 258 295 373 475 476 566 583
8 107 249 374 375 477 478 479 544
2 108 250 376 377 378 379 480 481
4 109 247 380 381 482 483 484 567
5 110 248 382 383 384 485 486 487
3 111 242 385 488 489 490 568 584
3 113 245 389 394 496 497 499 508
3 114 244 388 391 494 500 502 507
3 115 243 393 395 493 495 503 504
3 116 246 390 392 498 501 505 506
4 87 195 217 218 219 220 234 235
3 81 200 221 222 223 224 236 237
5 82 196 201 202 203 204 225 238
6 83 197 205 206 207 208 209 226
7 84 198 199 210 211 227 239 241
2 85 193 212 213 228 229 230 240
8 86 194 214 215 216 231 232 233
9 73 81 82 83 84 85 86 87
9 139 247 256 259 260 267 270 284
9 140 248 254 258 264 266 272 276
9 141 242 253 262 271 273 281 288
9 137 246 257 261 277 278 285 286
9 138 243 249 265 275 279 280 282
9 142 244 251 252 263 287 289 290
9 143 245 250 255 268 269 274 283
12 76 236 239 569 573 575 579 581
10 74 543 552 555 557 559 564 582
15 79 542 549 558 561 567 578 584
16 80 548 550 553 560 572 574 576
11 75 237 241 544 545 551 562 580
13 78 238 547 554 556 563 566 577
14 77 240 546 565 568 570 571 583
11 89 178 341 351 356 376 430 448
14 105 171 390 404 418 419 431 432
12 118 192 328 345 362 401 411 490
14 95 185 307 340 384 417 446 530
16 120 186 313 355 395 427 447 539
11 127 191 300 327 381 385 460 512
12 109 184 309 319 335 383 479 518
12 116 174 311 324 410 445 523 524
15 104 183 296 297 368 444 508 517
13 101 190 293 334 361 379 478 492
10 93 182 295 358 451 455 456 507
13 132 172 292 409 442 474 506 522
10 119 173 291 372 443 505 521 535
12 88 175 205 303 363 388 412 525
12 106 181 216 308 318 450 504 534
12 131 180 213 302 306 394 491 538
12 128 187 196 217 298 336 461 480
14 115 179 198 209 214 235 331 400
10 90 189 199 215 220 230 399 441
13 113 176 197 212 218 227 312 540
16 111 188 193 226 231 234 396 428
15 114 177 194 206 210 228 509 513
11 129 169 195 337 413 467 475 485
13 117 170 323 344 426 440 465 503
16 122 168 301 330 339 382 476 484
13 96 161 320 325 422 469 482 488
14 133 162 294 332 350 459 483 526
14 108 163 221 359 364 374 402 423
11 98 166 233 317 393 398 439 529
16 107 167 224 305 367 378 387 533
13 110 164 222 232 299 326 329 527
15 97 165 219 314 365 429 493 515
13 136 153 349 357 408 415 471 500
14 99 159 348 416 437 438 502 537
15 102 152 338 352 373 454 487 536
15 126 160 333 347 424 435 464 511
15 130 146 407 420 421 436 473 501
16 103 154 342 371 425 453 462 499
11 123 145 321 392 434 472 514 519
16 124 144 310 406 433 498 520 532
10 94 151 322 380 449 486 489 528
11 92 147 229 353 369 389 403 470
14 91 158 204 343 354 370 497 510
10 135 150 200 366 377 386 458 466
10 121 157 208 304 405 463 477 496
10 125 149 203 316 397 495 516 531
11 134 148 207 225 346 391 414 541
15 112 156 202 223 360 375 452 481
16 100 155 201 211 315 457 468 494
18 73 89 94 96 102 105 118 122
19 73 97 99 109 111 117 123 135
20 73 92 108 110 114 124 125 131
21 73 103 112 115 121 128 129 132
22 73 88 100 113 119 126 133 134
23 73 93 95 101 104 116 120 127
17 73 90 91 98 106 107 130 136
23 137 236 312 315 354 373 414 449
17 138 291 307 312 347 371 388 545
18 141 219 291 294 361 389 548 569
19 139 194 300 306 310 415 423 552
20 140 193 198 300 325 336 405 407
19 168 195 203 205 246 379 549 570
19 162 236 253 297 351 441 442 550
21 170 236 249 314 382 403 418 455
21 164 246 302 327 359 424 543 560
22 169 210 243 311 320 343 366 548
22 165 214 242 295 383 433 440 545
20 167 220 243 293 309 356 432 454
23 161 215 244 294 319 330 341 421
20 166 197 202 242 301 324 416 555
23 163 196 206 245 305 326 398 443
17 152 195 239 263 292 364 395 557
23 157 195 213 242 357 419 435 453
20 153 236 252 372 413 427 542 565
20 158 259 292 303 333 425 451 544
22 149 254 292 296 306 339 353 571
18 150 255 292 298 315 331 385 452
19 158 264 291 308 317 329 338 447
23 159 248 310 328 377 429 544 554
17 155 247 299 304 314 410 448 568
23 147 243 409 412 428 543 546 558
19 160 244 322 324 369 387 400 563
21 152 245 311 316 349 350 396 551
22 156 246 305 318 399 408 417 430
20 155 246 294 346 386 401 444 566
21 150 240 244 293 345 406 439 567
22 154 208 236 238 250 348 381 420
21 159 207 260 291 296 325 335 367
17 156 209 248 293 394 397 434 550
18 153 204 247 295 302 378 393 436
19 146 212 243 298 304 342 384 562
20 145 216 245 307 323 365 380 572
22 145 217 244 299 313 352 374 564
19 148 211 245 295 375 404 411 422
18 144 197 251 297 316 318 337 546
17 144 196 262 320 322 327 332 542
18 154 199 248 323 391 402 445 549
23 149 198 247 308 321 344 360 553
21 146 199 242 355 370 376 450 547
22 151 193 256 317 328 334 431 561
18 160 193 249 326 363 392 446 559
17 147 194 250 301 358 362 390 426
18 157 194 237 261 309 313 437 556
17 148 193 200 257 319 368 438 547
21 151 194 201 218 258 303 321 340
43 78 195 216 223 256 406 456 459
24 76 272 337 360 367 415 431 451
67 75 287 320 382 401 423 436 496
68 75 275 299 340 372 452 453 518
69 80 288 316 381 388 429 432 465
70 74 273 312 339 375 439 445 537
71 77 274 300 330 347 366 450 506
72 78 282 297 383 390 398 405 462
63 78 285 306 314 391 428 466 530
64 79 286 301 326 335 343 512 531
65 75 281 296 323 400 412 458 498
66 78 271 298 321 399 427 497 536
25 80 277 295 336 341 364 511 540
26 75 278 293 308 348 468 489 513
27 80 259 352 379 403 438 443 504
59 74 258 319 365 385 408 510 532
60 77 262 309 344 396 420 467 507
61 77 257 303 357 389 441 481 539
62 74 261 328 350 387 413 503 517
28 77 260 315 324 430 463 493 527
29 74 250 325 384 435 472 494 534
57 76 246 331 371 477 482 487 529
58 76 242 397 446 457 474 509 541
55 79 231 280 292 376 411 486 502
56 78 228 283 291 356 374 484 490
53 76 230 245 437 448 464 492 520
54 76 232 243 368 402 476 519 528
30 77 225 227 249 338 362 380 433
31 76 218 270 332 353 377 407 447
50 78 209 290 311 333 378 449 470
51 75 219 266 305 358 370 442 538
52 78 211 276 327 363 416 421 495
32 79 208 289 307 310 393 461 469
33 79 212 267 294 434 455 525 533
34 79 220 264 359 410 414 440 499
35 77 206 263 302 334 342 514 516
36 74 210 234 251 329 346 394 418
37 80 202 235 254 304 345 392 471
38 76 204 226 244 426 460 515 535
48 74 205 221 229 247 355 454 522
49 77 217 224 233 248 422 444 521
39 79 200 201 268 318 369 419 478
40 80 207 213 222 255 322 417 473
46 80 199 252 317 409 479 508 526
47 79 198 253 313 349 475 491 505
44 75 197 215 284 395 404 424 480
45 74 196 214 279 351 361 425 501
41 80 194 265 354 386 485 488 523
42 75 193 203 269 373 483 500 524
45 118 140 195 348 508 527 533 535
67 88 140 375 519 531 556 560 568
49 131 141 354 395 472 477 561 563
52 104 141 336 426 486 532 551 570
36 100 138 336 437 442 470 516 567
63 121 138 344 352 385 404 533 573
48 96 138 324 377 475 497 513 560
62 132 140 318 354 464 484 507 562
34 125 139 305 368 418 467 490 540
61 101 140 322 393 418 457 518 536
37 132 139 226 383 389 458 537 542
66 100 139 222 365 376 477 524 546
27 126 137 226 340 356 422 491 557
40 112 141 227 348 398 410 476 552
45 120 139 230 343 388 452 514 566
68 130 141 221 345 428 430 451 469
42 110 138 235 318 421 539 541 552
59 110 137 230 296 362 393 459 574
52 122 139 225 293 435 505 526 573
39 130 139 217 241 446 449 503 560
69 136 140 206 376 498 530 564 569
40 136 137 214 363 447 467 496 567
66 135 137 202 334 402 533 534 551
72 122 137 210 369 451 465 480 568
46 126 141 216 342 377 418 500 512
48 103 137 219 300 397 479 502 577
34 97 138 213 233 238 350 451 498
27 117 140 215 221 225 311 371 578
67 109 141 201 209 230 352 413 506
64 101 138 199 223 226 401 472 571
70 100 185 195 274 335 436 465 528
53 114 174 195 249 458 469 510 576
54 111 174 241 250 294 471 516 536
42 90 176 285 411 435 460 548 565
24 117 187 280 373 389 406 417 555
24 125 184 290 348 355 392 422 558
43 113 177 286 322 355 544 573 583
39 134 183 278 304 396 510 554 569
41 115 176 283 319 451 468 514 549
