0 1 2 3 4
0 5 6 7 8
0 9 12 13 14
0 10 17 18 19
0 11 15 16 20
1 21 22 23 24
1 37 40 41 42
1 38 44 45 47
1 39 43 46 48
3 28 59 69 70
2 29 58 67 68
3 30 65 78 84
3 33 60 75 79
4 35 63 71 80
4 36 64 73 77
4 31 61 81 83
2 34 62 74 82
2 32 66 72 76
4 25 49 50 51
3 26 53 56 57
2 27 52 54 55
5 21 25 26 27
5 38 58 60 61
5 39 59 62 64
5 37 63 65 66
6 22 49 52 53
7 24 51 54 56
8 23 50 55 57
8 28 43 73 74
7 30 40 71 72
7 34 48 70 77
7 31 47 67 75
8 35 41 76 84
8 29 45 79 81
6 33 44 68 83
6 36 46 69 82
6 32 42 78 80
10 21 28 31 32
11 21 29 30 36
9 21 33 34 35
11 39 49 75 76
10 38 51 82 84
10 39 57 68 71
10 37 52 77 79
11 38 55 70 80
11 37 56 74 83
9 38 53 72 73
9 39 54 78 81
9 37 50 67 69
12 24 62 79 80
15 23 58 77 78
16 22 64 67 84
17 24 61 69 76
18 23 59 72 83
19 22 66 70 81
20 24 65 68 73
13 23 63 75 82
14 22 60 71 74
12 28 40 49 58
12 36 47 57 66
16 28 44 54 63
17 33 40 55 64
18 34 45 49 65
19 35 46 56 58
15 33 43 51 66
15 31 41 53 62
16 34 42 57 61
17 29 48 53 63
18 36 41 54 60
19 30 44 50 62
20 35 47 52 59
20 32 48 50 60
13 30 43 52 61
14 29 42 51 59
13 32 45 56 64
14 31 46 55 65
12 27 48 83 84
20 26 40 81 82
15 27 45 69 71
16 25 46 72 79
17 25 47 74 78
18 26 43 67 80
19 27 42 73 75
14 26 44 76 77
13 25 41 68 70
