0 1 2 3 4 5
0 6 7 8 9 10
0 11 15 16 17 18
0 13 20 22 25 28
0 14 19 26 27 29
0 12 21 23 24 30
1 31 32 33 34 35
1 59 61 73 74 75
1 56 62 64 65 66
1 57 63 67 68 69
1 58 60 70 71 72
5 41 99 128 129 149
2 42 96 114 115 143
3 40 97 116 117 144
4 43 93 118 119 145
4 44 94 120 121 146
4 45 95 122 123 147
4 46 92 124 125 148
3 54 107 109 138 155
5 55 106 108 139 154
3 47 98 126 127 142
5 52 104 135 137 141
2 53 105 134 136 140
5 50 103 113 132 153
2 51 102 112 133 152
3 49 100 111 130 150
2 48 101 110 131 151
4 36 82 83 84 85
2 37 76 79 80 81
3 39 78 86 88 91
5 38 77 87 89 90
6 31 36 37 38 39
6 59 93 101 106 107
6 56 94 96 97 104
6 57 95 99 100 102
6 58 92 98 103 105
8 32 144 145 152 153
7 33 142 143 147 154
9 35 140 146 149 155
10 34 141 148 150 151
10 41 70 88 115 119
9 42 73 82 130 132
7 40 74 79 124 128
8 52 61 86 122 134
8 48 62 83 126 129
8 46 63 87 114 138
8 49 60 80 120 139
9 47 67 76 118 135
10 53 69 84 108 117
7 51 72 85 109 137
9 55 65 91 112 125
10 54 66 81 113 123
9 45 71 89 110 116
7 43 64 90 111 136
10 44 75 77 127 133
7 50 68 78 121 131
11 31 45 49 50 53
12 31 41 46 47 51
13 31 42 43 52 54
14 31 40 44 48 55
11 59 115 125 126 137
11 56 118 128 133 138
14 57 109 119 132 134
12 56 108 122 130 131
13 58 112 117 121 129
12 59 113 116 120 136
13 57 110 124 127 139
14 58 111 114 123 135
11 57 81 90 144 146
11 58 82 86 151 154
13 59 76 87 147 150
14 56 80 89 142 148
13 56 85 88 140 153
12 57 83 91 141 143
14 59 78 84 149 152
12 58 77 79 145 155
15 32 76 92 108 109
18 34 85 99 114 116
16 35 87 98 119 131
17 33 88 102 120 135
28 32 91 101 123 128
29 32 82 104 127 136
30 32 89 100 115 121
19 33 81 93 129 130
20 34 79 94 126 132
21 35 80 95 117 137
26 35 86 96 113 124
27 34 90 107 112 122
24 33 84 103 110 138
25 35 83 106 111 133
22 33 77 97 125 134
23 34 78 105 118 139
15 40 60 93 140 141
16 44 71 107 143 153
18 48 69 104 147 155
17 55 68 96 145 150
26 41 65 105 144 147
24 42 72 106 144 148
28 50 61 102 148 155
29 51 62 103 146 150
30 43 63 97 149 151
21 54 67 94 152 154
19 47 74 95 151 153
20 49 66 92 143 149
23 52 70 101 142 146
25 53 73 99 142 145
22 45 64 98 141 152
27 46 75 100 140 154
15 41 61 94 110 111
17 46 64 101 117 132
18 47 66 106 121 134
16 51 73 97 123 139
27 42 69 98 120 128
25 40 67 103 115 122
30 53 62 107 124 135
28 44 63 105 130 137
29 54 60 99 125 131
21 50 65 93 114 127
20 55 70 95 136 138
19 52 68 92 116 133
23 45 75 96 109 129
26 43 71 102 108 126
22 48 72 100 113 118
24 49 74 104 112 119
15 42 62 77 78 95
16 52 65 79 84 100
17 54 74 83 89 105
18 43 75 80 91 103
22 41 68 80 82 107
23 40 66 82 87 102
30 55 61 81 85 98
29 45 63 79 88 106
28 47 60 84 90 96
24 44 64 76 86 99
27 50 70 76 83 97
20 51 69 86 89 93
19 53 72 87 91 94
21 48 73 88 90 92
25 46 71 78 81 104
26 49 67 77 85 101
15 36 63 112 113 142
18 38 70 124 130 152
16 39 67 129 136 148
17 37 72 122 127 149
20 36 75 131 135 144
21 36 71 128 134 150
19 36 64 115 139 155
29 38 61 117 118 143
28 37 62 116 119 154
30 39 60 132 133 147
22 39 74 108 114 146
25 38 65 109 120 151
24 38 68 123 126 140
26 37 73 121 138 141
23 37 69 111 125 153
27 39 66 110 137 145
