0 1 2 3 4 5 6 7 8
0 9 10 11 12 13 14 15 16
0 17 24 25 26 27 28 29 30
0 18 43 44 45 46 51 56 61
0 19 33 37 38 49 59 64 69
0 20 31 34 39 40 54 60 65
0 21 32 41 42 50 55 66 70
0 22 36 47 52 57 62 68 71
0 23 35 48 53 58 63 67 72
1 73 74 75 76 77 78 79 80
1 137 144 145 146 147 148 149 150
1 138 154 168 169 170 171 181 186
1 139 152 158 162 163 174 184 189
1 140 151 153 159 164 165 175 179
1 141 157 166 167 176 180 185 190
1 142 155 161 172 178 182 187 192
1 143 156 160 173 177 183 188 191
3 88 243 301 302 303 304 305 306
2 89 242 295 296 297 298 299 300
6 134 287 294 565 568 578 582 584
7 136 288 291 570 572 573 577 580
8 133 289 292 567 571 574 575 579
5 135 290 293 566 569 576 581 583
3 90 267 350 388 416 440 464 522
3 124 268 337 369 389 425 505 545
3 125 256 363 390 426 445 506 546
3 126 257 331 370 391 427 446 547
3 127 258 319 325 338 371 525 548
3 128 244 339 392 393 447 507 526
4 131 286 356 421 422 444 484 504
4 132 285 355 423 424 443 483 503
4 114 278 340 465 508 527 528 549
4 102 259 313 326 341 394 395 466
4 103 260 307 332 396 397 428 485
4 97 273 429 486 509 529 530 550
4 91 245 357 364 372 373 374 375
2 119 251 376 398 467 487 510 551
2 104 250 377 399 448 468 488 552
2 105 252 358 400 449 489 511 553
2 106 253 314 320 378 469 512 531
2 107 254 308 379 401 450 490 513
2 92 255 402 403 451 470 532 554
5 129 274 342 380 430 452 491 514
5 130 261 327 365 404 453 471 492
6 120 275 328 343 381 405 493 555
7 121 276 315 333 382 431 533 534
8 123 248 353 420 481 501 524 543
5 122 249 354 419 482 502 523 544
7 115 279 366 406 454 472 515 556
8 116 280 344 359 407 455 516 557
5 117 281 321 334 360 408 535 558
6 118 282 309 322 367 409 517 536
6 108 283 316 345 361 410 432 456
8 109 277 335 383 433 457 494 559
7 110 262 329 346 362 458 495 560
8 111 263 317 368 434 459 473 518
6 112 246 336 411 460 474 496 537
