0 1 2 3 4 5 6 7 8 9
0 10 11 12 13 14 15 16 17 18
0 19 55 56 57 58 59 60 61 62
0 20 30 34 35 36 37 38 39 40
0 21 33 41 42 43 44 45 46 47
0 22 27 48 49 50 51 52 53 54
0 25 32 78 79 84 85 86 87 90
0 26 31 77 80 81 82 83 88 89
0 23 29 63 64 67 70 72 74 75
0 24 28 65 66 68 69 71 73 76
1 91 92 93 94 95 96 97 98 99
1 172 208 209 210 211 212 213 214 215
1 173 183 187 188 189 190 191 192 193
1 174 186 194 195 196 197 198 199 200
1 175 180 201 202 203 204 205 206 207
1 178 185 230 233 234 237 238 239 243
1 179 184 231 232 235 236 240 241 242
1 176 182 218 219 221 223 225 226 229
1 177 181 216 217 220 222 224 227 228
2 108 308 372 373 374 375 628 629 756
2 119 322 428 430 431 438 656 665 773
2 120 320 432 446 453 455 658 663 768
2 121 324 434 436 442 447 652 659 770
2 122 319 435 439 441 444 657 664 769
2 123 323 433 443 449 452 655 660 767
2 124 321 437 440 445 451 654 661 771
2 125 325 429 448 450 454 653 662 772
3 109 315 405 406 407 408 640 641 762
4 112 316 409 410 411 412 642 643 763
5 115 309 413 414 415 416 644 645 764
6 116 312 417 418 419 420 646 647 765
7 117 317 395 421 422 423 648 649 766
8 118 318 424 425 426 427 650 651 761
4 168 368 612 615 621 625 750 753 760
5 171 370 614 619 622 627 749 755 757
6 170 369 613 617 620 626 751 752 758
3 169 371 616 618 623 624 748 754 759
5 167 366 605 608 609 610 639 747 818
6 166 367 604 606 607 611 638 746 819
5 162 365 588 589 592 598 637 742 815
8 163 364 596 597 601 603 634 743 817
9 164 362 593 595 599 602 635 745 816
3 165 363 590 591 594 600 636 744 814
4 161 361 580 581 582 587 633 740 812
9 160 360 583 584 585 586 632 741 813
6 159 359 573 575 577 578 631 738 811
8 158 358 572 574 576 579 630 739 810
4 155 355 404 565 567 569 732 735 808
9 157 357 402 568 570 571 733 736 809
3 156 356 403 563 564 566 734 737 807
4 150 351 401 545 559 561 722 729 806
5 152 350 396 550 553 554 720 728 803
6 153 354 397 546 551 560 724 725 804
7 149 352 398 547 548 557 721 726 801
7 154 353 399 556 558 562 723 730 805
3 151 349 400 549 552 555 727 731 802
4 143 346 394 533 542 543 711 715 798
6 147 343 389 527 532 541 712 716 795
7 145 344 390 534 538 540 714 719 796
7 148 348 391 535 536 544 708 709 799
8 144 345 392 528 529 537 710 717 800
9 146 347 393 530 531 539 713 718 797
7 140 341 388 519 520 523 702 707 794
8 141 340 386 518 522 525 705 706 792
3 142 342 387 521 524 526 703 704 793
4 134 339 385 507 511 513 693 701 789
5 133 337 379 506 512 517 692 696 790
6 136 338 380 499 501 516 698 699 787
7 137 334 381 504 509 515 688 694 791
8 135 335 382 498 500 510 690 700 785
9 138 333 383 502 508 514 689 691 788
3 139 336 384 497 503 505 695 697 786
5 132 331 378 489 492 493 685 687 783
7 131 332 376 494 495 496 682 686 784
9 130 330 377 488 490 491 683 684 782
4 129 314 481 483 485 486 678 681 780
9 128 313 480 482 484 487 679 680 781
8 127 311 472 473 475 477 674 676 778
3 126 310 474 476 478 479 675 677 779
6 114 328 464 467 468 469 670 671 777
8 113 329 465 466 470 471 672 673 776
5 111 327 459 461 462 463 666 668 774
9 110 326 456 457 458 460 667 669 775
2 103 272 273 274 275 276 277 278 279
7 100 250 251 252 253 254 255 256 257
6 101 245 258 259 260 261 262 263 264
4 102 244 265 266 267 268 269 270 271
5 104 249 284 288 289 298 299 300 307
8 107 246 283 285 292 293 301 302 305
9 106 247 281 287 294 295 296 297 304
3 105 248 280 282 286 290 291 303 306
10 91 100 101 102 103 104 105 106 107
10 172 316 321 328 330 353 356 364 366
10 178 309 317 319 343 349 358 362 368
10 176 312 315 320 326 344 345 350 351
10 179 308 327 333 340 352 355 363 369
10 174 314 318 325 332 337 338 347 371
10 175 313 324 329 336 339 348 354 370
10 177 311 323 331 341 342 346 357 367
10 173 310 322 334 335 359 360 361 365
11 95 769 774 778 786 787 805 806 813
12 92 767 776 780 782 795 796 814 815
13 93 761 768 777 781 783 801 802 812
14 94 756 766 785 797 798 803 804 807
15 98 757 763 765 772 788 791 793 810
16 96 760 770 775 779 784 792 818 819
17 99 759 764 771 799 800 808 809 811
18 97 758 762 773 789 790 794 816 817
11 109 180 244 372 376 377 378 630 631
11 119 233 287 424 533 590 605 646 709
11 133 232 258 482 498 534 615 654 704
11 134 218 286 433 464 518 531 644 688
11 140 208 285 434 532 550 580 689 748
11 163 217 250 457 549 551 589 653 732
11 164 187 272 481 548 563 604 710 749
11 170 195 284 421 432 465 474 642 733
14 112 216 280 428 480 527 528 666 682
15 108 194 281 497 529 588 612 670 702
13 168 183 282 429 472 488 613 708 720
16 149 186 283 413 430 545 546 683 703
17 162 230 245 409 473 530 547 640 652
12 169 231 265 395 431 456 614 671 674
16 161 243 306 375 516 571 603 719 755
17 147 193 307 373 427 526 562 669 701
12 148 229 305 374 412 517 611 731 741
13 167 228 264 471 515 561 602 629 754
18 127 215 257 416 420 479 487 628 681
14 125 241 304 408 415 470 587 638 730
17 129 242 303 455 560 579 586 639 707
15 146 240 278 478 541 544 559 634 687
16 128 226 279 542 558 624 626 637 739
17 145 207 301 454 463 469 543 635 677
18 154 227 302 453 578 625 627 636 718
14 116 206 299 452 557 601 623 632 753
15 153 225 300 451 477 496 600 633 745
15 152 205 263 402 486 525 556 665 727
18 160 239 277 404 468 495 524 673 728
12 159 238 298 403 450 522 523 680 729
13 126 237 270 399 449 512 514 717 725
14 138 200 276 400 511 540 577 676 747
17 123 213 296 401 510 555 622 686 752
18 139 223 271 398 448 570 610 700 716
12 124 224 297 396 476 513 576 699 726
12 157 214 275 397 407 509 621 651 668
13 141 199 255 389 406 585 619 661 715
14 142 211 268 391 446 598 599 698 706
15 156 222 269 390 414 447 583 650 751
16 132 212 261 392 423 507 584 662 744
12 144 204 256 393 521 609 620 664 740
12 115 192 262 394 494 508 597 663 697
13 121 221 295 387 462 485 596 649 738
16 151 190 267 388 445 461 539 647 672
18 122 191 294 386 411 493 618 714 724
13 131 235 292 385 418 444 592 736 737
14 158 189 254 379 467 568 594 659 722
15 117 188 293 380 443 569 608 641 679
16 118 236 253 384 553 575 595 643 660
17 165 198 266 381 441 484 554 743 746
18 150 203 290 383 426 440 607 648 742
12 155 197 291 382 419 442 593 685 723
13 166 209 249 438 505 538 574 713 735
14 137 234 246 437 483 492 617 667 695
15 143 210 248 439 460 466 573 696 721
16 120 202 247 475 506 566 567 694 712
15 135 185 252 459 491 606 616 658 693
18 136 184 289 436 504 537 552 684 711
14 171 182 260 425 490 520 565 657 675
17 130 181 274 417 422 503 582 692 705
16 114 220 288 405 435 500 536 678 691
17 113 219 251 489 501 502 564 656 750
13 110 201 273 410 499 519 591 645 690
18 111 196 259 458 535 572 581 655 734
19 91 119 144 145 151 153 160 168 171
23 91 109 115 121 128 135 137 147 150
25 91 112 123 133 136 141 149 156 157
24 91 108 129 132 138 154 163 166 169
26 91 113 116 122 126 148 152 161 164
20 91 114 125 127 140 146 155 165 167
21 91 111 118 124 130 131 142 143 170
22 91 110 117 120 134 139 158 159 162
19 172 372 379 380 381 382 383 384 385
19 174 405 433 561 562 570 573 597 598
19 177 415 432 458 485 522 541 547 624
19 179 410 422 434 487 492 566 576 606
22 172 430 463 470 481 544 585 618 620
23 172 429 474 525 539 557 560 581 614
26 172 427 436 482 494 567 577 588 591
26 177 395 406 448 459 531 545 579 617
21 173 374 408 475 502 519 551 559 627
22 177 375 419 425 496 514 552 554 615
25 176 373 423 468 478 508 574 587 605
23 177 404 444 501 517 529 540 590 595
24 176 403 409 439 461 498 504 599 613
20 173 402 452 462 503 513 534 537 626
21 175 400 450 493 500 515 530 604 612
21 176 399 416 431 532 569 586 594 603
22 179 397 435 524 533 556 601 602 622
23 174 396 411 417 438 477 520 563 584
24 178 401 407 451 465 490 499 506 535
24 173 398 418 447 480 518 521 543 553
21 178 392 442 464 484 486 538 610 623
22 174 390 445 479 488 489 528 580 611
23 179 391 449 466 469 549 571 609 625
24 175 389 413 424 443 476 495 568 582
25 178 393 420 454 497 511 550 558 596
20 175 394 421 428 512 516 526 572 583
25 175 388 441 472 483 578 589 593 616
26 174 387 453 457 467 509 510 542 608
20 176 386 437 491 548 555 575 592 621
25 173 378 455 456 471 536 565 600 607
26 179 377 414 440 473 505 507 523 527
20 178 376 412 426 446 460 546 564 619
19 175 251 305 654 684 735 744 765 803
19 176 263 299 653 703 715 718 776 799
19 178 272 294 666 674 707 751 779 812
19 173 270 306 651 670 686 747 769 816
21 172 269 280 646 649 728 739 767 809
24 172 264 288 658 667 731 750 778 794
25 172 274 297 644 716 717 719 793 798
20 172 250 302 640 657 729 745 783 819
23 173 245 298 661 681 683 748 766 810
22 176 244 290 676 692 699 702 770 781
23 178 254 293 629 691 704 711 811 815
26 175 260 300 628 643 689 737 796 800
25 179 259 284 641 656 722 741 761 784
20 174 265 303 645 673 709 712 756 788
25 174 253 292 652 680 727 753 758 774
26 176 256 301 655 678 733 754 757 804
26 173 277 287 696 698 723 743 760 802
20 179 276 281 647 688 700 720 759 780
22 175 279 295 639 671 706 721 762 806
26 178 267 282 638 687 705 726 773 813
21 174 258 289 635 664 693 695 792 801
22 178 262 307 636 660 732 736 785 791
23 175 271 286 634 668 730 752 768 775
24 179 266 291 637 710 714 738 772 797
21 179 255 283 633 663 669 675 787 790
24 177 257 285 632 665 697 701 777 818
21 177 275 296 631 672 708 742 763 807
24 174 278 304 630 648 725 755 808 814
22 173 246 252 642 662 713 734 764 795
23 176 247 273 650 682 685 746 786 789
25 177 248 268 690 694 724 749 771 782
20 177 249 261 659 677 679 740 805 817
27 92 245 309 372 386 387 388 632 633
30 93 288 367 466 509 511 586 654 734
33 96 292 352 407 554 577 583 653 681
40 92 266 371 436 551 574 595 666 721
47 92 274 357 479 498 507 619 670 730
62 92 301 348 514 563 610 626 658 722
75 92 307 359 410 495 531 603 657 727
76 92 303 355 430 458 515 550 650 698
89 92 251 345 429 506 533 607 679 695
90 92 296 321 405 418 421 625 676 687
63 97 244 336 451 467 502 522 719 720
55 94 300 312 426 481 519 571 652 697
34 98 304 308 474 538 545 578 651 692
41 95 259 337 395 447 470 555 691 735
61 99 256 329 375 411 462 464 641 667
74 95 290 339 374 490 547 608 647 717
88 96 270 349 373 477 568 620 688 742
46 97 284 338 480 544 579 621 629 744
87 93 283 332 503 541 599 614 628 732
85 94 269 342 438 465 487 575 639 723
86 99 275 330 549 553 561 572 638 702
45 99 297 323 504 505 546 580 634 747
54 98 254 335 440 485 516 605 635 731
60 97 287 319 526 557 569 611 637 690
84 96 255 318 415 439 513 560 636 689
59 96 282 361 437 517 530 556 630 716
83 93 306 368 443 463 508 520 631 700
53 97 286 351 402 454 492 494 672 725
81 98 299 354 404 488 518 558 640 663
82 95 294 322 403 469 483 496 645 739
38 97 285 353 400 414 417 456 660 715
39 95 257 364 396 455 527 612 703 736
44 93 253 340 401 419 428 588 718 748
72 99 262 365 399 424 448 566 745 753
73 95 302 341 397 478 484 598 643 661
80 94 263 370 398 445 590 596 669 729
36 94 278 333 392 406 581 589 686 699
37 96 264 331 391 431 497 510 642 684
43 98 268 356 389 435 457 537 685 707
52 95 271 315 393 427 452 606 708 755
58 95 277 362 394 489 525 594 694 738
71 93 261 366 390 408 441 576 711 733
51 99 298 343 383 472 542 548 665 675
67 96 295 320 380 523 543 623 673 749
68 94 281 325 385 532 536 552 668 705
69 98 276 347 384 416 471 615 726 752
70 93 279 326 379 473 486 521 709 724
78 97 258 327 381 446 476 529 678 713
79 95 289 369 382 460 540 582 662 754
50 94 293 334 377 468 512 624 664 750
57 98 260 350 376 449 475 618 680 701
77 99 305 344 378 499 524 539 659 693
35 99 291 314 423 444 482 627 706 751
49 96 273 313 459 564 565 597 646 714
56 93 267 310 450 491 501 601 644 648
66 97 250 311 442 573 587 622 683 737
42 94 248 316 413 453 534 602 674 746
48 93 247 324 412 562 600 617 710 728
64 98 246 317 461 570 591 604 656 740
65 96 249 328 422 528 559 593 655 704
31 97 272 360 409 425 609 616 649 712
32 98 280 346 434 535 584 592 671 743
29 94 252 358 433 493 567 613 677 741
28 99 265 363 420 432 500 585 682 696
29 111 182 311 372 389 390 393 759 760
28 110 181 310 372 391 392 394 757 758
30 135 199 354 506 523 552 587 769 809
30 148 235 359 432 461 477 484 762 798
33 116 220 334 434 460 463 472 789 814
33 162 212 344 476 596 617 625 769 788
27 127 204 327 423 433 490 560 763 802
27 149 229 331 417 486 572 591 769 797
86 109 198 362 410 450 537 544 804 818
34 109 222 322 420 567 568 622 776 801
49 112 243 333 444 503 604 608 776 794
82 112 218 325 458 475 476 556 783 811
63 108 191 356 484 512 580 617 776 784
83 108 221 346 405 426 557 593 764 787
48 155 183 321 424 497 547 584 790 804
70 143 183 347 407 430 468 492 800 805
37 137 186 370 473 478 499 615 767 816
65 145 186 343 436 456 512 601 763 786
58 142 180 333 436 477 558 621 764 777
82 169 180 321 462 487 501 587 791 792
41 148 208 309 425 468 503 561 772 775
71 144 199 309 455 482 516 556 789 807
65 158 236 312 462 474 562 612 773 782
79 137 208 312 435 522 583 610 802 808
48 156 237 308 467 493 513 595 778 799
60 143 203 308 482 520 555 596 795 818
61 167 230 340 395 445 551 568 789 793
85 160 200 336 395 449 486 498 764 819
47 139 231 360 373 465 540 542 765 783
50 136 206 353 374 466 531 592 779 808
55 131 234 367 373 414 537 539 806 814
76 160 214 351 375 527 564 589 801 810
80 141 189 366 375 530 535 573 780 786
86 168 242 326 374 413 563 577 791 817
40 122 224 336 532 539 543 598 761 791
60 165 223 323 457 506 612 620 761 766
69 134 210 362 417 437 624 627 761 796
74 138 187 316 442 459 479 516 761 799
44 159 209 345 459 549 558 582 756 816
75 118 204 328 485 504 600 622 756 813
77 133 230 341 418 569 576 618 756 775
78 145 227 365 407 507 525 604 756 781
